Symbol Name, Object File, Library Archive, Matching
setEuler__Q29JGeometry9TQuat4<f>Ffff,AnmPlayer.o,Animation.a,false
setRotate__Q29JGeometry9TQuat4<f>FRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>,AnmPlayer.o,Animation.a,false
slerp__Q29JGeometry9TQuat4<f>FRCQ29JGeometry9TQuat4<f>f,AnmPlayer.o,Animation.a,false
normalize__Q29JGeometry9TQuat4<f>FRCQ29JGeometry9TQuat4<f>,AnmPlayer.o,Animation.a,false
getEuler__Q29JGeometry9TQuat4<f>CFRQ29JGeometry8TVec3<f>,AnmPlayer.o,Animation.a,false
__ct__Q29JGeometry64TPosition3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>Fv,AnmPlayer.o,Animation.a,false
identity__Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>Fv,AnmPlayer.o,Animation.a,false
mult__Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>CFRCQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>,AnmPlayer.o,Animation.a,false
multTranspose__Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>CFRCQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>,AnmPlayer.o,Animation.a,false
invert__Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>FRCQ29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>,AnmPlayer.o,Animation.a,false
concat__Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>FRCQ29JGeometry13SMatrix34C<f>RCQ29JGeometry13SMatrix34C<f>,AnmPlayer.o,Animation.a,false
concat__Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>FRCQ29JGeometry13SMatrix34C<f>,AnmPlayer.o,Animation.a,false
__ct__Q29JGeometry8TVec3<f>Ff,AnmPlayer.o,Animation.a,false
set<f>__Q29JGeometry8TVec3<f>Ffff_v,AnmPlayer.o,Animation.a,false
epsilonEquals__Q29JGeometry8TUtil<f>Ffff,AnmPlayer.o,Animation.a,true
sqrt__Q29JGeometry8TUtil<f>Ff,AnmPlayer.o,Animation.a,false
set__Q29JGeometry13SMatrix34C<f>Fffffffffffff,AnmPlayer.o,Animation.a,false
getQuat__Q29JGeometry64TRotation3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>CFRQ29JGeometry9TQuat4<f>,AnmPlayer.o,Animation.a,false
set<f>__Q29JGeometry8TVec4<f>Fffff_v,AnmPlayer.o,Animation.a,false
__as__Q29JGeometry9TQuat4<f>FRCQ29JGeometry9TQuat4<f>,AnmPlayer.o,Animation.a,false
__ct__13AnmPlayerBaseFPC8ResTable,AnmPlayer.o,Animation.a,true
update__13AnmPlayerBaseFv,AnmPlayer.o,Animation.a,true
reflectFrame__13AnmPlayerBaseFv,AnmPlayer.o,Animation.a,false
start__13AnmPlayerBaseFPCc,AnmPlayer.o,Animation.a,false
stop__13AnmPlayerBaseFv,AnmPlayer.o,Animation.a,true
isPlaying__13AnmPlayerBaseCFPCc,AnmPlayer.o,Animation.a,true
__ct__21MaterialAnmPlayerBaseFPC8ResTableP12J3DModelData,AnmPlayer.o,Animation.a,true
beginDiff__21MaterialAnmPlayerBaseFv,AnmPlayer.o,Animation.a,true
endDiff__21MaterialAnmPlayerBaseFv,AnmPlayer.o,Animation.a,true
__dt__12J3DFrameCtrlFv,AnmPlayer.o,Animation.a,false
changeAnimation__13AnmPlayerBaseFP10J3DAnmBase,AnmPlayer.o,Animation.a,true
stopAnimation__13AnmPlayerBaseFv,AnmPlayer.o,Animation.a,true
getValue<l>__12JMapInfoIterCFPCcPl_b,BckCtrl.o,Animation.a,false
__ct__7BckCtrlFP14ResourceHolderPCc,BckCtrl.o,Animation.a,false
add__7BckCtrlFRC11BckCtrlData,BckCtrl.o,Animation.a,false
__as__11BckCtrlDataFRC11BckCtrlData,BckCtrl.o,Animation.a,false
overWrite__7BckCtrlFRC11BckCtrlData,BckCtrl.o,Animation.a,true
changeBckSetting__7BckCtrlCFPCcP12XanimePlayer,BckCtrl.o,Animation.a,true
find__7BckCtrlCFPCc,BckCtrl.o,Animation.a,false
reflectBckCtrlData__15BckCtrlFunctionFRC11BckCtrlDataP12XanimePlayer,BckCtrl.o,Animation.a,false
__ct__11BckCtrlDataFv,BckCtrl.o,Animation.a,true
__ct__9BpkPlayerFPC14ResourceHolderP12J3DModelData,BpkPlayer.o,Animation.a,false
attach__9BpkPlayerFP10J3DAnmBaseP12J3DModelData,BpkPlayer.o,Animation.a,false
detach__9BpkPlayerFP10J3DAnmBaseP12J3DModelData,BpkPlayer.o,Animation.a,false
__ct__9BrkPlayerFPC14ResourceHolderP12J3DModelData,BrkPlayer.o,Animation.a,false
attach__9BrkPlayerFP10J3DAnmBaseP12J3DModelData,BrkPlayer.o,Animation.a,false
detach__9BrkPlayerFP10J3DAnmBaseP12J3DModelData,BrkPlayer.o,Animation.a,false
__ct__9BtkPlayerFPC14ResourceHolderP12J3DModelData,BtkPlayer.o,Animation.a,false
