Symbol Name, Object File, Library Archive, Matching
dot__Q29JGeometry8TVec3<f>CFRCQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
set<f>__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>_v,AreaForm.o,AreaObj.a,true
add__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
asin__Q29JGeometry8TUtil<f>Ff,AreaForm.o,AreaObj.a,true
mult33__Q29JGeometry64TRotation3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>CFRCQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,false
getValue<f>__12JMapInfoIterCFPCcPf_b,AreaForm.o,AreaObj.a,false
__ct__12AreaFormCubeFi,AreaForm.o,AreaObj.a,true
init__12AreaFormCubeFRC12JMapInfoIter,AreaForm.o,AreaObj.a,true
isInVolume__12AreaFormCubeCFRCQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
calcWorldPos__12AreaFormCubeCFPQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
calcWorldRotate__12AreaFormCubeCFPQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,false
calcWorldBox__12AreaFormCubeCFPQ29JGeometry11TDirBox3<f>,AreaForm.o,AreaObj.a,true
calcLocalPos__12AreaFormCubeCFPQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
getBaseSize__12AreaFormCubeFv,AreaForm.o,AreaObj.a,true
updateBoxParam__12AreaFormCubeFv,AreaForm.o,AreaObj.a,false
calcWorldMtx__12AreaFormCubeCFPQ29JGeometry64TPosition3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>,AreaForm.o,AreaObj.a,true
__ct__14AreaFormSphereFv,AreaForm.o,AreaObj.a,true
calcUpVec__14AreaFormSphereCFPQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
calcPos__14AreaFormSphereCFPQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
isInVolume__14AreaFormSphereCFRCQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
__ct__12AreaFormBowlFv,AreaForm.o,AreaObj.a,true
init__12AreaFormBowlFRC12JMapInfoIter,AreaForm.o,AreaObj.a,true
isInVolume__12AreaFormBowlCFRCQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
calcUpVec__12AreaFormBowlFRCQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
__ct__16AreaFormCylinderFv,AreaForm.o,AreaObj.a,true
calcPos__16AreaFormCylinderCFPQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
calcCenterPos__16AreaFormCylinderCFPQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
calcUpVec__16AreaFormCylinderCFPQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
isInVolume__16AreaFormCylinderCFRCQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
calcDir__16AreaFormCylinderFRCQ29JGeometry8TVec3<f>,AreaForm.o,AreaObj.a,true
PSVECSubtract__14JMathInlineVECFPC3VecPC3VecP3Vec,AreaForm.o,AreaObj.a,false
init__14AreaFormSphereFRC12JMapInfoIter,AreaForm.o,AreaObj.a,true
init__16AreaFormCylinderFRC12JMapInfoIter,AreaForm.o,AreaObj.a,true
