Symbol Name, Object File, Library Archive, Matching
__ct__15CamHeliEffectorFv,CamHeliEffector.o,Camera.a,true
update__15CamHeliEffectorFP9CameraMan,CamHeliEffector.o,Camera.a,false
isCameraStateOn__15CameraTargetObjCFUl,CamHeliEffector.o,Camera.a,true
__sinit_\CamHeliEffector_cpp,CamHeliEffector.o,Camera.a,false
__ct__Q213NrvMarioActor17MarioActorNrvWaitFv,CamHeliEffector.o,Camera.a,false
__ct__Q213NrvMarioActor21MarioActorNrvGameOverFv,CamHeliEffector.o,Camera.a,false
__ct__Q213NrvMarioActor26MarioActorNrvGameOverAbyssFv,CamHeliEffector.o,Camera.a,false
__ct__Q213NrvMarioActor27MarioActorNrvGameOverAbyss2Fv,CamHeliEffector.o,Camera.a,false
__ct__Q213NrvMarioActor25MarioActorNrvGameOverFireFv,CamHeliEffector.o,Camera.a,false
__ct__Q213NrvMarioActor30MarioActorNrvGameOverBlackHoleFv,CamHeliEffector.o,Camera.a,false
__ct__Q213NrvMarioActor28MarioActorNrvGameOverNonStopFv,CamHeliEffector.o,Camera.a,false
__ct__Q213NrvMarioActor25MarioActorNrvGameOverSinkFv,CamHeliEffector.o,Camera.a,false
__ct__Q213NrvMarioActor21MarioActorNrvTimeWaitFv,CamHeliEffector.o,Camera.a,false
__ct__Q213NrvMarioActor19MarioActorNrvNoRushFv,CamHeliEffector.o,Camera.a,false
execute__Q213NrvMarioActor19MarioActorNrvNoRushCFP5Spine,CamHeliEffector.o,Camera.a,false
execute__Q213NrvMarioActor21MarioActorNrvTimeWaitCFP5Spine,CamHeliEffector.o,Camera.a,false
execute__Q213NrvMarioActor25MarioActorNrvGameOverSinkCFP5Spine,CamHeliEffector.o,Camera.a,false
execute__Q213NrvMarioActor28MarioActorNrvGameOverNonStopCFP5Spine,CamHeliEffector.o,Camera.a,false
execute__Q213NrvMarioActor30MarioActorNrvGameOverBlackHoleCFP5Spine,CamHeliEffector.o,Camera.a,false
execute__Q213NrvMarioActor25MarioActorNrvGameOverFireCFP5Spine,CamHeliEffector.o,Camera.a,false
execute__Q213NrvMarioActor27MarioActorNrvGameOverAbyss2CFP5Spine,CamHeliEffector.o,Camera.a,false
execute__Q213NrvMarioActor26MarioActorNrvGameOverAbyssCFP5Spine,CamHeliEffector.o,Camera.a,false
execute__Q213NrvMarioActor21MarioActorNrvGameOverCFP5Spine,CamHeliEffector.o,Camera.a,false
execute__Q213NrvMarioActor17MarioActorNrvWaitCFP5Spine,CamHeliEffector.o,Camera.a,false
JMACosRadian__Ff,CamKarikariEffector.o,Camera.a,false
__ct__19CamKarikariEffectorFv,CamKarikariEffector.o,Camera.a,true
update__19CamKarikariEffectorFP9CameraMan,CamKarikariEffector.o,Camera.a,false
setRotate__Q29JGeometry9TQuat4<f>FRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>f,CamPoseSphereInterpolator.o,Camera.a,false
transform__Q29JGeometry9TQuat4<f>CFRCQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>,CamPoseSphereInterpolator.o,Camera.a,false
setParam__17CamTranslatorAnimFPC16CameraParamChunk,CamTranslatorAnim.o,Camera.a,true
getCamera__17CamTranslatorAnimCFv,CamTranslatorAnim.o,Camera.a,true
getAnimFrame__17CamTranslatorAnimCFPC16CameraParamChunk,CamTranslatorAnim.o,Camera.a,true
setParam__19CamTranslatorBehindFPC16CameraParamChunk,CamTranslatorBehind.o,Camera.a,true
getCamera__19CamTranslatorBehindCFv,CamTranslatorBehind.o,Camera.a,true
setParam__22CamTranslatorBlackHoleFPC16CameraParamChunk,CamTranslatorBlackHole.o,Camera.a,true
getCamera__22CamTranslatorBlackHoleCFv,CamTranslatorBlackHole.o,Camera.a,true
setParam__23CamTranslatorCharmedFixFPC16CameraParamChunk,CamTranslatorCharmedFix.o,Camera.a,true
getCamera__23CamTranslatorCharmedFixCFv,CamTranslatorCharmedFix.o,Camera.a,true
setParam__30CamTranslatorCharmedTripodBossFPC16CameraParamChunk,CamTranslatorCharmedTripodBoss.o,Camera.a,true
getCamera__30CamTranslatorCharmedTripodBossCFv,CamTranslatorCharmedTripodBoss.o,Camera.a,true
setParam__26CamTranslatorCharmedVecRegFPC16CameraParamChunk,CamTranslatorCharmedVecReg.o,Camera.a,true
