Symbol Name, Object File, Library Archive, Matching
__ct__20AstroDomeDemoStarterFPCc,AstroDomeDemoStarter.o,Demo.a,false
init__20AstroDomeDemoStarterFRC12JMapInfoIter,AstroDomeDemoStarter.o,Demo.a,false
startJumpOut__20AstroDomeDemoStarterFv,AstroDomeDemoStarter.o,Demo.a,false
calcAndSetBaseMtx__20AstroDomeDemoStarterFv,AstroDomeDemoStarter.o,Demo.a,false
movePlayer__20AstroDomeDemoStarterFv,AstroDomeDemoStarter.o,Demo.a,false
exeSpinDriverAppear__20AstroDomeDemoStarterFv,AstroDomeDemoStarter.o,Demo.a,false
exeSpinDriverStart__20AstroDomeDemoStarterFv,AstroDomeDemoStarter.o,Demo.a,false
exeSpinDriverShoot__20AstroDomeDemoStarterFv,AstroDomeDemoStarter.o,Demo.a,false
exeJumpOut__20AstroDomeDemoStarterFv,AstroDomeDemoStarter.o,Demo.a,false
exeWhiteOut__20AstroDomeDemoStarterFv,AstroDomeDemoStarter.o,Demo.a,false
__sinit_\AstroDomeDemoStarter_cpp,AstroDomeDemoStarter.o,Demo.a,false
__ct__Q223NrvAstroDomeDemoStarter39AstroDomeDemoStarterNrvSpinDriverAppearFv,AstroDomeDemoStarter.o,Demo.a,false
__ct__Q223NrvAstroDomeDemoStarter38AstroDomeDemoStarterNrvSpinDriverStartFv,AstroDomeDemoStarter.o,Demo.a,false
__ct__Q223NrvAstroDomeDemoStarter38AstroDomeDemoStarterNrvSpinDriverShootFv,AstroDomeDemoStarter.o,Demo.a,false
__ct__Q223NrvAstroDomeDemoStarter30AstroDomeDemoStarterNrvJumpOutFv,AstroDomeDemoStarter.o,Demo.a,false
__ct__Q223NrvAstroDomeDemoStarter31AstroDomeDemoStarterNrvWhiteOutFv,AstroDomeDemoStarter.o,Demo.a,false
execute__Q223NrvAstroDomeDemoStarter31AstroDomeDemoStarterNrvWhiteOutCFP5Spine,AstroDomeDemoStarter.o,Demo.a,false
execute__Q223NrvAstroDomeDemoStarter30AstroDomeDemoStarterNrvJumpOutCFP5Spine,AstroDomeDemoStarter.o,Demo.a,false
execute__Q223NrvAstroDomeDemoStarter38AstroDomeDemoStarterNrvSpinDriverShootCFP5Spine,AstroDomeDemoStarter.o,Demo.a,false
execute__Q223NrvAstroDomeDemoStarter38AstroDomeDemoStarterNrvSpinDriverStartCFP5Spine,AstroDomeDemoStarter.o,Demo.a,false
execute__Q223NrvAstroDomeDemoStarter39AstroDomeDemoStarterNrvSpinDriverAppearCFP5Spine,AstroDomeDemoStarter.o,Demo.a,false
getBaseMtx__20AstroDomeDemoStarterCFv,AstroDomeDemoStarter.o,Demo.a,false
__cl__Q22MR67FunctorV0M<P20AstroDomeDemoStarter&#44;M20AstroDomeDemoStarterFPCvPv_v>CFv,AstroDomeDemoStarter.o,Demo.a,false
clone__Q22MR67FunctorV0M<P20AstroDomeDemoStarter&#44;M20AstroDomeDemoStarterFPCvPv_v>CFP7JKRHeap,AstroDomeDemoStarter.o,Demo.a,false
__dt__20AstroDomeDemoStarterFv,AstroDomeDemoStarter.o,Demo.a,false
getOpenedAstroDomeNum__17AstroDemoFunctionFv,AstroDemoFunction.o,Demo.a,false
getGrandStarReturnDemoName__17AstroDemoFunctionFi,AstroDemoFunction.o,Demo.a,false
getActiveGrandStarReturnDemoIndex__17AstroDemoFunctionFv,AstroDemoFunction.o,Demo.a,false
tryRegisterDemo__17AstroDemoFunctionFP9LiveActorPCcRC12JMapInfoIter,AstroDemoFunction.o,Demo.a,false
tryRegisterAstroDemoAll__17AstroDemoFunctionFP9LiveActorRC12JMapInfoIter,AstroDemoFunction.o,Demo.a,false
tryRegisterGrandStarReturn__17AstroDemoFunctionFP9LiveActorRC12JMapInfoIter,AstroDemoFunction.o,Demo.a,false
tryRegisterGrandStarReturnWithFunction__17AstroDemoFunctionFP9LiveActorRC12JMapInfoIterRCQ22MR11FunctorBase,AstroDemoFunction.o,Demo.a,false
tryRegisterGrandStarReturnAndSimpleCast__17AstroDemoFunctionFP9LiveActorRC12JMapInfoIter,AstroDemoFunction.o,Demo.a,false
tryRegisterGrandStarReturnWithFunctionAndSimpleCast__17AstroDemoFunctionFP9LiveActorRC12JMapInfoIterRCQ22MR11FunctorBase,AstroDemoFunction.o,Demo.a,false
tryRegisterSimpleCastIfAstroGalaxy__17AstroDemoFunctionFP9LiveActor,AstroDemoFunction.o,Demo.a,false
tryRegisterDemoForTico__17AstroDemoFunctionFP9LiveActorRC12JMapInfoIter,AstroDemoFunction.o,Demo.a,false
tryRegisterDemoForLuigiAndKinopio__17AstroDemoFunctionFP9LiveActorRC12JMapInfoIter,AstroDemoFunction.o,Demo.a,false
getValue<l>__8JMapInfoCFiPCcPl_Cb,DemoActionKeeper.o,Demo.a,false
getValue<PCc>__8JMapInfoCFiPCcPPCc_Cb,DemoActionKeeper.o,Demo.a,false
