Symbol Name, Object File, Library Archive, Matching
__ct__11ConeGravityFv,ConeGravity.o,Gravity.a,true
setLocalMatrix__11ConeGravityFRCQ29JGeometry64TPosition3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>,ConeGravity.o,Gravity.a,true
setEnableBottom__11ConeGravityFb,ConeGravity.o,Gravity.a,true
setTopCutRate__11ConeGravityFf,ConeGravity.o,Gravity.a,true
updateMtx__11ConeGravityFRCQ29JGeometry64TPosition3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>,ConeGravity.o,Gravity.a,true
calcOwnGravityVector__11ConeGravityCFPQ29JGeometry8TVec3<f>PfRCQ29JGeometry8TVec3<f>,ConeGravity.o,Gravity.a,false
isZero__Q29JGeometry8TVec3<f>CFv,CubeGravity.o,Gravity.a,true
__ct__11CubeGravityFv,CubeGravity.o,Gravity.a,false
setCube__11CubeGravityFRCQ29JGeometry64TPosition3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>,CubeGravity.o,Gravity.a,false
calcGravityArea__11CubeGravityCFRCQ29JGeometry8TVec3<f>,CubeGravity.o,Gravity.a,false
calcFaceGravity__11CubeGravityCFRCQ29JGeometry8TVec3<f>lPQ29JGeometry8TVec3<f>Pf,CubeGravity.o,Gravity.a,false
calcEdgeGravity__11CubeGravityCFRCQ29JGeometry8TVec3<f>lPQ29JGeometry8TVec3<f>Pf,CubeGravity.o,Gravity.a,false
calcCornerGravity__11CubeGravityCFRCQ29JGeometry8TVec3<f>lPQ29JGeometry8TVec3<f>Pf,CubeGravity.o,Gravity.a,false
calcOwnGravityVector__11CubeGravityCFPQ29JGeometry8TVec3<f>PfRCQ29JGeometry8TVec3<f>,CubeGravity.o,Gravity.a,false
updateMtx__11CubeGravityFRCQ29JGeometry64TPosition3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>,CubeGravity.o,Gravity.a,false
normalize__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>,CubeGravity.o,Gravity.a,false
__ct__11DiskGravityFv,DiskGravity.o,Gravity.a,true
setLocalPosition__11DiskGravityFRCQ29JGeometry8TVec3<f>,DiskGravity.o,Gravity.a,true
setLocalDirection__11DiskGravityFRCQ29JGeometry8TVec3<f>,DiskGravity.o,Gravity.a,true
setSideDirection__11DiskGravityFRCQ29JGeometry8TVec3<f>,DiskGravity.o,Gravity.a,true
setRadius__11DiskGravityFf,DiskGravity.o,Gravity.a,true
setValidDegee__11DiskGravityFf,DiskGravity.o,Gravity.a,true
setBothSide__11DiskGravityFb,DiskGravity.o,Gravity.a,true
setEnableEdgeGravity__11DiskGravityFb,DiskGravity.o,Gravity.a,true
calcOwnGravityVector__11DiskGravityCFPQ29JGeometry8TVec3<f>PfRCQ29JGeometry8TVec3<f>,DiskGravity.o,Gravity.a,false
updateMtx__11DiskGravityFRCQ29JGeometry64TPosition3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>,DiskGravity.o,Gravity.a,true
updateLocalParam__11DiskGravityFv,DiskGravity.o,Gravity.a,false
__ct__16DiskTorusGravityFv,DiskTorusGravity.o,Gravity.a,true
setPosition__16DiskTorusGravityFRCQ29JGeometry8TVec3<f>,DiskTorusGravity.o,Gravity.a,true
setDirection__16DiskTorusGravityFRCQ29JGeometry8TVec3<f>,DiskTorusGravity.o,Gravity.a,true
setRadius__16DiskTorusGravityFf,DiskTorusGravity.o,Gravity.a,true
setDiskRadius__16DiskTorusGravityFf,DiskTorusGravity.o,Gravity.a,true
setEdgeType__16DiskTorusGravityFl,DiskTorusGravity.o,Gravity.a,true
