Symbol Name, Object File, Library Archive, Matching
initShapeNodes__13J3DShapeTableFP14J3DDrawMtxDataP13J3DVertexData,J3DShapeTable.o,J3DGraphAnimator.a,false
sortVcdVatCmd__13J3DShapeTableFv,J3DShapeTable.o,J3DGraphAnimator.a,false
__ct__12J3DJointTreeFv,J3DJointTree.o,J3DGraphAnimator.a,false
makeHierarchy__12J3DJointTreeFP8J3DJointPPC17J3DModelHierarchyP16J3DMaterialTableP13J3DShapeTable,J3DJointTree.o,J3DGraphAnimator.a,false
findImportantMtxIndex__12J3DJointTreeFv,J3DJointTree.o,J3DGraphAnimator.a,false
calc__12J3DJointTreeFP12J3DMtxBufferRC3VecRA3_A4_Cf,J3DJointTree.o,J3DGraphAnimator.a,false
setMtxBuffer__10J3DMtxCalcFP12J3DMtxBuffer,J3DJointTree.o,J3DGraphAnimator.a,false
__dt__12J3DJointTreeFv,J3DJointTree.o,J3DGraphAnimator.a,false
clear__12J3DModelDataFv,J3DModelData.o,J3DGraphAnimator.a,false
__ct__12J3DModelDataFv,J3DModelData.o,J3DGraphAnimator.a,false
newSharedDisplayList__12J3DModelDataFUl,J3DModelData.o,J3DGraphAnimator.a,false
indexToPtr__12J3DModelDataFv,J3DModelData.o,J3DGraphAnimator.a,false
syncJ3DSysFlags__12J3DModelDataCFv,J3DModelData.o,J3DGraphAnimator.a,false
__dt__13J3DShapeTableFv,J3DModelData.o,J3DGraphAnimator.a,false
__dt__12J3DModelDataFv,J3DModelData.o,J3DGraphAnimator.a,false
initialize__12J3DMtxBufferFv,J3DMtxBuffer.o,J3DGraphAnimator.a,false
create__12J3DMtxBufferFP12J3DModelDataUl,J3DMtxBuffer.o,J3DGraphAnimator.a,false
createAnmMtx__12J3DMtxBufferFP12J3DModelData,J3DMtxBuffer.o,J3DGraphAnimator.a,false
createWeightEnvelopeMtx__12J3DMtxBufferFP12J3DModelData,J3DMtxBuffer.o,J3DGraphAnimator.a,false
setNoUseDrawMtx__12J3DMtxBufferFv,J3DMtxBuffer.o,J3DGraphAnimator.a,false
createDoubleDrawMtx__12J3DMtxBufferFP12J3DModelDataUl,J3DMtxBuffer.o,J3DGraphAnimator.a,false
createBumpMtxArray__12J3DMtxBufferFP12J3DModelDataUl,J3DMtxBuffer.o,J3DGraphAnimator.a,false
calcWeightEnvelopeMtx__12J3DMtxBufferFv,J3DMtxBuffer.o,J3DGraphAnimator.a,false
calcDrawMtx__12J3DMtxBufferFUlRC3VecRA3_A4_Cf,J3DMtxBuffer.o,J3DGraphAnimator.a,false
calcNrmMtx__12J3DMtxBufferFv,J3DMtxBuffer.o,J3DGraphAnimator.a,false
calcBBoardMtx__12J3DMtxBufferFv,J3DMtxBuffer.o,J3DGraphAnimator.a,false
J3DCalcViewBaseMtx__FPA4_fRC3VecRA3_A4_CfPA4_f,J3DMtxBuffer.o,J3DGraphAnimator.a,false
setNrmMtx__12J3DMtxBufferFiPA4_f,J3DMtxBuffer.o,J3DGraphAnimator.a,false
getNrmMtx__12J3DMtxBufferFi,J3DMtxBuffer.o,J3DGraphAnimator.a,false
initialize__8J3DModelFv,J3DModel.o,J3DGraphAnimator.a,false
entryModelData__8J3DModelFP12J3DModelDataUlUl,J3DModel.o,J3DGraphAnimator.a,false
createShapePacket__8J3DModelFP12J3DModelData,J3DModel.o,J3DGraphAnimator.a,false
createMatPacket__8J3DModelFP12J3DModelDataUl,J3DModel.o,J3DGraphAnimator.a,false
lock__8J3DModelFv,J3DModel.o,J3DGraphAnimator.a,false
unlock__8J3DModelFv,J3DModel.o,J3DGraphAnimator.a,false
makeDL__8J3DModelFv,J3DModel.o,J3DGraphAnimator.a,false
calcMaterial__8J3DModelFv,J3DModel.o,J3DGraphAnimator.a,false
calcDiffTexMtx__8J3DModelFv,J3DModel.o,J3DGraphAnimator.a,false
