Symbol Name, Object File, Library Archive, Matching
__ct__15ActiveActorListFi,ActiveActorList.o,LiveActor.a,true
isFull__15ActiveActorListCFv,ActiveActorList.o,LiveActor.a,true
addActor__15ActiveActorListFP9LiveActor,ActiveActorList.o,LiveActor.a,true
removeDeadActor__15ActiveActorListFv,ActiveActorList.o,LiveActor.a,true
clear__15ActiveActorListFv,ActiveActorList.o,LiveActor.a,true
killAll__15ActiveActorListFv,ActiveActorList.o,LiveActor.a,true
__ct__15ActorAnimKeeperFP9LiveActor,ActorAnimKeeper.o,LiveActor.a,false
tryCreate__15ActorAnimKeeperFP9LiveActor,ActorAnimKeeper.o,LiveActor.a,false
getAnimName__29@unnamed@ActorAnimKeeper_cpp@FPC19ActorAnimKeeperInfoRC17ActorAnimDataInfo,ActorAnimKeeper.o,LiveActor.a,false
start__15ActorAnimKeeperFPCc,ActorAnimKeeper.o,LiveActor.a,false
update__15ActorAnimKeeperFv,ActorAnimKeeper.o,LiveActor.a,false
isPlaying__15ActorAnimKeeperCFPCc,ActorAnimKeeper.o,LiveActor.a,false
getCsvDataAnimData__29@unnamed@ActorAnimKeeper_cpp@FP17ActorAnimDataInfoPCcP8JMapInfol,ActorAnimKeeper.o,LiveActor.a,false
initAnimData__15ActorAnimKeeperFv,ActorAnimKeeper.o,LiveActor.a,false
findAnimInfo__15ActorAnimKeeperCFPCc,ActorAnimKeeper.o,LiveActor.a,false
__ct__15ActorCameraInfoFRC12JMapInfoIter,ActorCameraInfo.o,LiveActor.a,true
__ct__15ActorCameraInfoFll,ActorCameraInfo.o,LiveActor.a,true
__ct__14ActorJointCtrlFP9LiveActor,ActorJointCtrl.o,LiveActor.a,true
startDynamicCtrl__14ActorJointCtrlFPCcl,ActorJointCtrl.o,LiveActor.a,true
endDynamicCtrl__14ActorJointCtrlFPCcl,ActorJointCtrl.o,LiveActor.a,true
resetDynamicCtrl__14ActorJointCtrlFv,ActorJointCtrl.o,LiveActor.a,true
startFaceCtrl__14ActorJointCtrlFl,ActorJointCtrl.o,LiveActor.a,true
endFaceCtrl__14ActorJointCtrlFl,ActorJointCtrl.o,LiveActor.a,true
setIKEndPosition__14ActorJointCtrlFPCcRCQ29JGeometry8TVec3<f>f,ActorJointCtrl.o,LiveActor.a,true
setIKEndDirection__14ActorJointCtrlFPCcRCQ29JGeometry8TVec3<f>f,ActorJointCtrl.o,LiveActor.a,true
endIKCtrlAll__14ActorJointCtrlFv,ActorJointCtrl.o,LiveActor.a,true
update__14ActorJointCtrlFv,ActorJointCtrl.o,LiveActor.a,true
startUpdate__14ActorJointCtrlFv,ActorJointCtrl.o,LiveActor.a,true
endUpdate__14ActorJointCtrlFv,ActorJointCtrl.o,LiveActor.a,true
setCallBackFunction__14ActorJointCtrlFv,ActorJointCtrl.o,LiveActor.a,true
__ct__14ActorLightCtrlFPC9LiveActor,ActorLightCtrl.o,LiveActor.a,true
init__14ActorLightCtrlFib,ActorLightCtrl.o,LiveActor.a,false
__as__14ActorLightInfoFRC14ActorLightInfo,ActorLightCtrl.o,LiveActor.a,false
update__14ActorLightCtrlFb,ActorLightCtrl.o,LiveActor.a,true
loadLight__14ActorLightCtrlCFv,ActorLightCtrl.o,LiveActor.a,true
reset__14ActorLightCtrlFv,ActorLightCtrl.o,LiveActor.a,false
copy__14ActorLightCtrlFPC14ActorLightCtrl,ActorLightCtrl.o,LiveActor.a,false
isSameLight__14ActorLightCtrlCFPC14ActorLightCtrl,ActorLightCtrl.o,LiveActor.a,true
getActorLight__14ActorLightCtrlCFv,ActorLightCtrl.o,LiveActor.a,true
initActorLightInfo__14ActorLightCtrlFv,ActorLightCtrl.o,LiveActor.a,true
tryFindNewAreaLight__14ActorLightCtrlFb,ActorLightCtrl.o,LiveActor.a,false
updateLightBlend__14ActorLightCtrlFv,ActorLightCtrl.o,LiveActor.a,false
resetCurrentLightInfo__14ActorLightCtrlFv,ActorLightCtrl.o,LiveActor.a,true
getTargetActorLight__14ActorLightCtrlCFPC13AreaLightInfo,ActorLightCtrl.o,LiveActor.a,true
__ct__21ActorPadAndCameraCtrlFPC12ModelManagerPCQ29JGeometry8TVec3<f>,ActorPadAndCameraCtrl.o,LiveActor.a,false
