Symbol Name, Object File, Library Archive, Matching
isLastUpdateToday__27@unnamed@NWC24Function_cpp@FPx,NWC24Function.o,NWC24.a,false
calcWiiMailSize__2MRFPCUsPCUsUlUl,NWC24Function.o,NWC24.a,false
checkWiiMailLimit__2MRFUl,NWC24Function.o,NWC24.a,false
updateWiiMailSentSize__2MRFUl,NWC24Function.o,NWC24.a,false
getMailSender__2MRFPCc,NWC24Function.o,NWC24.a,false
getNWC24Messenger__28@unnamed@NWC24Messenger_cpp@Fv,NWC24Messenger.o,NWC24.a,false
__ct__14NWC24MessengerFPCc,NWC24Messenger.o,NWC24.a,false
initAfterResourceLoaded__14NWC24MessengerFv,NWC24Messenger.o,NWC24.a,false
movement__14NWC24MessengerFv,NWC24Messenger.o,NWC24.a,false
calcAnim__14NWC24MessengerFv,NWC24Messenger.o,NWC24.a,false
draw__14NWC24MessengerCFv,NWC24Messenger.o,NWC24.a,false
send__14NWC24MessengerFPCcPCwPCwPCUcUlbbUsUc,NWC24Messenger.o,NWC24.a,false
term__14NWC24MessengerFPCc,NWC24Messenger.o,NWC24.a,false
isSent__14NWC24MessengerCFPCc,NWC24Messenger.o,NWC24.a,false
isError__14NWC24MessengerCFPCc,NWC24Messenger.o,NWC24.a,false
prepareReset__14NWC24MessengerFv,NWC24Messenger.o,NWC24.a,false
isRunning__14NWC24MessengerCFv,NWC24Messenger.o,NWC24.a,false
reset__14NWC24MessengerFv,NWC24Messenger.o,NWC24.a,false
findTask__14NWC24MessengerCFPCc,NWC24Messenger.o,NWC24.a,false
selectTask__14NWC24MessengerCFv,NWC24Messenger.o,NWC24.a,false
clearBackgroundTask__14NWC24MessengerFv,NWC24Messenger.o,NWC24.a,false
__ct__Q217NWC24MessengerSub9SendStateFP14NWC24Messenger,NWC24Messenger.o,NWC24.a,false
initAfterResourceLoaded__Q217NWC24MessengerSub9SendStateFv,NWC24Messenger.o,NWC24.a,false
updateNerve__Q217NWC24MessengerSub9SendStateFv,NWC24Messenger.o,NWC24.a,false
