Symbol Name, Object File, Library Archive, Matching
__dt__13FireMarioBallFv,FireMarioBall.o,Player.a,false
__ct__13FireMarioBallFPCc,FireMarioBall.o,Player.a,false
init__13FireMarioBallFRC12JMapInfoIter,FireMarioBall.o,Player.a,false
appear__13FireMarioBallFv,FireMarioBall.o,Player.a,false
kill__13FireMarioBallFv,FireMarioBall.o,Player.a,false
appearAndThrow__13FireMarioBallFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>,FireMarioBall.o,Player.a,false
attackSensor__13FireMarioBallFP9HitSensorP9HitSensor,FireMarioBall.o,Player.a,false
attackFire__13FireMarioBallFP9HitSensor,FireMarioBall.o,Player.a,false
initSensor__13FireMarioBallFv,FireMarioBall.o,Player.a,false
isBindedAny__13FireMarioBallCFv,FireMarioBall.o,Player.a,false
tryToKill__13FireMarioBallFv,FireMarioBall.o,Player.a,false
exeThrow__13FireMarioBallFv,FireMarioBall.o,Player.a,false
__sinit_\FireMarioBall_cpp,FireMarioBall.o,Player.a,false
__ct__Q216NrvFireMarioBall21FireMarioBallNrvThrowFv,FireMarioBall.o,Player.a,false
execute__Q216NrvFireMarioBall21FireMarioBallNrvThrowCFP5Spine,FireMarioBall.o,Player.a,false
__ct__11GhostPacketFPvUl,GhostPacket.o,Player.a,false
read__11GhostPacketFPUcUl,GhostPacket.o,Player.a,false
read__11GhostPacketFPUl,GhostPacket.o,Player.a,false
read__11GhostPacketFPs,GhostPacket.o,Player.a,false
read__11GhostPacketFPPc,GhostPacket.o,Player.a,false
read__11GhostPacketFPSc,GhostPacket.o,Player.a,false
read__11GhostPacketFPQ29JGeometry9TVec3<Sc>,GhostPacket.o,Player.a,false
read__11GhostPacketFPQ29JGeometry8TVec3<s>,GhostPacket.o,Player.a,false
playSound__25@unnamed@GhostPlayer_cpp@FP9LiveActorPCc,GhostPlayer.o,Player.a,false
makeArchiveList__11GhostPlayerFP27NameObjArchiveListCollectorRC12JMapInfoIter,GhostPlayer.o,Player.a,false
__ct__11GhostPlayerFPCc,GhostPlayer.o,Player.a,false
init__11GhostPlayerFRC12JMapInfoIter,GhostPlayer.o,Player.a,false
appear__11GhostPlayerFv,GhostPlayer.o,Player.a,false
control__11GhostPlayerFv,GhostPlayer.o,Player.a,false
exeWait__11GhostPlayerFv,GhostPlayer.o,Player.a,false
warpPosition__11GhostPlayerFPCc,GhostPlayer.o,Player.a,false
exePreStartDemo0__11GhostPlayerFv,GhostPlayer.o,Player.a,false
isRequestSkipDemo__11GhostPlayerCFv,GhostPlayer.o,Player.a,false
exePreStartDemo1__11GhostPlayerFv,GhostPlayer.o,Player.a,false
exePreStartDemo2__11GhostPlayerFv,GhostPlayer.o,Player.a,false
exeWinDemo__11GhostPlayerFv,GhostPlayer.o,Player.a,false
exeLostDemo__11GhostPlayerFv,GhostPlayer.o,Player.a,false
calcAndSetBaseMtx__11GhostPlayerFv,GhostPlayer.o,Player.a,false
initAnimation__11GhostPlayerFv,GhostPlayer.o,Player.a,false
setAnimation__11GhostPlayerFPCc,GhostPlayer.o,Player.a,false
setAnimationWeight__11GhostPlayerFPCf,GhostPlayer.o,Player.a,false
attackSensor__11GhostPlayerFP9HitSensorP9HitSensor,GhostPlayer.o,Player.a,false
receiveMsgPlayerAttack__11GhostPlayerFUlP9HitSensorP9HitSensor,GhostPlayer.o,Player.a,false
receiveOtherMsg__11GhostPlayerFUlP9HitSensorP9HitSensor,GhostPlayer.o,Player.a,false
draw__11GhostPlayerCFv,GhostPlayer.o,Player.a,false
receiveGhostPacket__11GhostPlayerFP11GhostPacket,GhostPlayer.o,Player.a,false
getShiftRatio__FSc,GhostPlayer.o,Player.a,false
convToFloat__2MRFRQ29JGeometry8TVec3<s>ScPQ29JGeometry8TVec3<f>,GhostPlayer.o,Player.a,false
convToFloat__2MRFRQ29JGeometry9TVec3<Sc>ScPQ29JGeometry8TVec3<f>,GhostPlayer.o,Player.a,false
convToFloat__2MRFsScPf,GhostPlayer.o,Player.a,false
convToFloat__2MRFScScPf,GhostPlayer.o,Player.a,false
__dt__11GhostPlayerFv,GhostPlayer.o,Player.a,false
__sinit_\GhostPlayer_cpp,GhostPlayer.o,Player.a,false
__ct__Q214NrvGhostPlayer15HostTypeNrvWaitFv,GhostPlayer.o,Player.a,false
__ct__Q214NrvGhostPlayer18HostTypeNrvWinDemoFv,GhostPlayer.o,Player.a,false
__ct__Q214NrvGhostPlayer19HostTypeNrvLostDemoFv,GhostPlayer.o,Player.a,false
__ct__Q214NrvGhostPlayer24HostTypeNrvPreStartDemo0Fv,GhostPlayer.o,Player.a,false
__ct__Q214NrvGhostPlayer24HostTypeNrvPreStartDemo1Fv,GhostPlayer.o,Player.a,false
__ct__Q214NrvGhostPlayer24HostTypeNrvPreStartDemo2Fv,GhostPlayer.o,Player.a,false
__ct__Q214NrvGhostPlayer20HostTypeNrvStartDemoFv,GhostPlayer.o,Player.a,false
__ct__Q214NrvGhostPlayer14HostTypeNrvRunFv,GhostPlayer.o,Player.a,false
execute__Q214NrvGhostPlayer14HostTypeNrvRunCFP5Spine,GhostPlayer.o,Player.a,false
execute__Q214NrvGhostPlayer20HostTypeNrvStartDemoCFP5Spine,GhostPlayer.o,Player.a,false
execute__Q214NrvGhostPlayer24HostTypeNrvPreStartDemo2CFP5Spine,GhostPlayer.o,Player.a,false
execute__Q214NrvGhostPlayer24HostTypeNrvPreStartDemo1CFP5Spine,GhostPlayer.o,Player.a,false
execute__Q214NrvGhostPlayer24HostTypeNrvPreStartDemo0CFP5Spine,GhostPlayer.o,Player.a,false
execute__Q214NrvGhostPlayer19HostTypeNrvLostDemoCFP5Spine,GhostPlayer.o,Player.a,false
execute__Q214NrvGhostPlayer18HostTypeNrvWinDemoCFP5Spine,GhostPlayer.o,Player.a,false
execute__Q214NrvGhostPlayer15HostTypeNrvWaitCFP5Spine,GhostPlayer.o,Player.a,false
__ct__12GroupCheckerFPCcUl,GroupChecker.o,Player.a,true
initAfterPlacement__12GroupCheckerFv,GroupChecker.o,Player.a,true
add__12GroupCheckerFPC7NameObj,GroupChecker.o,Player.a,true
add__17GroupCheckManagerFPC7NameObjl,GroupChecker.o,Player.a,false
isExist__17GroupCheckManagerFPC7NameObjl,GroupChecker.o,Player.a,false
__dt__12GroupCheckerFv,GroupChecker.o,Player.a,true
__dt__17GroupCheckManagerFv,GroupChecker.o,Player.a,true
__ct__17GroupCheckManagerFPCc,GroupChecker.o,Player.a,true
viewCalc2__9J3DModelXFv,J3DModelX.o,Player.a,false
setDrawView__9J3DModelXFUl,J3DModelX.o,Player.a,false
setDrawViewBuffer__9J3DModelXFPA4_f,J3DModelX.o,Player.a,false
copyAnmMtxBuffer__9J3DModelXFPC9J3DModelX,J3DModelX.o,Player.a,false
viewCalc3__9J3DModelXFUlPA4_f,J3DModelX.o,Player.a,false
viewCalcRef__9J3DModelXFUlP8J3DModel,J3DModelX.o,Player.a,false
viewCalcRefPos__9J3DModelXFUlP8J3DModelRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>,J3DModelX.o,Player.a,false
calcNrmMtx2__13J3DMtxBuffer2Fv,J3DModelX.o,Player.a,false
calcDrawMtx2__13J3DMtxBuffer2FUlRC3VecRA3_A4_CfP12J3DMtxBuffer,J3DModelX.o,Player.a,false
calcDrawMtx3__13J3DMtxBuffer2FUlRC3VecRA3_A4_CfP12J3DMtxBufferRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>,J3DModelX.o,Player.a,false
directDraw__9J3DModelXFP8J3DModel,J3DModelX.o,Player.a,false
drawIn__9J3DModelXFP11J3DMaterialbPA4_fP8J3DModel,J3DModelX.o,Player.a,false
simpleDrawSetup__9J3DModelXFP11J3DMaterial,J3DModelX.o,Player.a,false
simpleDrawShape__9J3DModelXFP11J3DMaterial,J3DModelX.o,Player.a,false
storeDisplayList__9J3DModelXFP7_GDLObjUl,J3DModelX.o,Player.a,false
__ct__9J3DModelXFP12J3DModelDataUlUl,J3DModelX.o,Player.a,false
shapePacketDrawFast__9J3DModelXCFP15J3DShapePacketX,J3DModelX.o,Player.a,false
shapeDrawFast__9J3DModelXCFP9J3DShapeX,J3DModelX.o,Player.a,false
__dt__9J3DModelXFv,J3DModelX.o,Player.a,false
swapNrmMtx__12J3DMtxBufferFv,J3DModelX.o,Player.a,false
getDrawMtx__12J3DMtxBufferFi,J3DModelX.o,Player.a,false
getDrawMtxPtr__8J3DModelFv,J3DModelX.o,Player.a,false
__dt__8J3DModelFv,J3DModelX.o,Player.a,false
rotationMtx__13J3DMtxBuffer2FPA4_f,J3DModelX.o,Player.a,false
__ct__15JetTurtleShadowFPCc,JetTurtleShadow.o,Player.a,false
calcType0__15JetTurtleShadowFPA4_f,JetTurtleShadow.o,Player.a,false
drawType0__15JetTurtleShadowCFv,JetTurtleShadow.o,Player.a,false
drawType1__15JetTurtleShadowCFv,JetTurtleShadow.o,Player.a,false
init__15JetTurtleShadowFRC12JMapInfoIter,JetTurtleShadow.o,Player.a,false
__dt__15JetTurtleShadowFv,JetTurtleShadow.o,Player.a,false
__ct__10MarineSnowFv,MarineSnow.o,Player.a,false
view__10MarineSnowFv,MarineSnow.o,Player.a,false
clear__10MarineSnowFv,MarineSnow.o,Player.a,false
