Symbol Name, Object File, Library Archive, Matching
__ct__9BigBubbleFPCc,BigBubble.o,Ride.a,false
init__9BigBubbleFRC12JMapInfoIter,BigBubble.o,Ride.a,false
initSensor__9BigBubbleFv,BigBubble.o,Ride.a,false
makeActorAppeared__9BigBubbleFv,BigBubble.o,Ride.a,false
makeActorDead__9BigBubbleFv,BigBubble.o,Ride.a,false
control__9BigBubbleFv,BigBubble.o,Ride.a,false
calcAnim__9BigBubbleFv,BigBubble.o,Ride.a,false
draw__9BigBubbleCFv,BigBubble.o,Ride.a,false
generate__9BigBubbleFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>fbllPC21BigBubbleMoveLimitter,BigBubble.o,Ride.a,false
setActionType__9BigBubbleFl,BigBubble.o,Ride.a,false
setShapeType__9BigBubbleFl,BigBubble.o,Ride.a,false
getBaseRadius__9BigBubbleCFv,BigBubble.o,Ride.a,false
setHost__9BigBubbleFP9LiveActor,BigBubble.o,Ride.a,false
setScale__9BigBubbleFf,BigBubble.o,Ride.a,false
attackSensor__9BigBubbleFP9HitSensorP9HitSensor,BigBubble.o,Ride.a,false
receiveMsgPlayerAttack__9BigBubbleFUlP9HitSensorP9HitSensor,BigBubble.o,Ride.a,false
receiveMsgEnemyAttack__9BigBubbleFUlP9HitSensorP9HitSensor,BigBubble.o,Ride.a,false
receiveMsgPush__9BigBubbleFP9HitSensorP9HitSensor,BigBubble.o,Ride.a,false
receiveOtherMsg__9BigBubbleFUlP9HitSensorP9HitSensor,BigBubble.o,Ride.a,false
requestBind__9BigBubbleFP9HitSensor,BigBubble.o,Ride.a,false
requestMerged__9BigBubbleFP9HitSensorP9HitSensor,BigBubble.o,Ride.a,false
requestAssimilate__9BigBubbleFP9HitSensorP9HitSensor,BigBubble.o,Ride.a,false
requestCancelBind__9BigBubbleFv,BigBubble.o,Ride.a,false
tryAppearEnd__9BigBubbleFv,BigBubble.o,Ride.a,false
tryBreak__9BigBubbleFv,BigBubble.o,Ride.a,false
tryAutoBreak__9BigBubbleFv,BigBubble.o,Ride.a,false
tryBreakEnd__9BigBubbleFv,BigBubble.o,Ride.a,false
tryEscape__9BigBubbleFv,BigBubble.o,Ride.a,false
tryEscapeEnd__9BigBubbleFv,BigBubble.o,Ride.a,false
