Symbol Name, Object File, Library Archive, Matching
THPGXRestore,THPDraw.o,Screen.a,false
THPGXYuv2RgbSetup,THPDraw.o,Screen.a,false
THPGXSetTexObjFilter,THPDraw.o,Screen.a,false
THPGXYuv2RgbDraw,THPDraw.o,Screen.a,false
__ct__10BackButtonFPCcb,BackButton.o,Screen.a,false
appear__10BackButtonFv,BackButton.o,Screen.a,false
disappear__10BackButtonFv,BackButton.o,Screen.a,false
isHidden__10BackButtonCFv,BackButton.o,Screen.a,false
isAppearing__10BackButtonCFv,BackButton.o,Screen.a,false
isDisappearing__10BackButtonCFv,BackButton.o,Screen.a,false
isPointing__10BackButtonCFv,BackButton.o,Screen.a,false
__dt__10BackButtonFv,BackButton.o,Screen.a,false
init__10BackButtonFRC12JMapInfoIter,BackButton.o,Screen.a,false
control__10BackButtonFv,BackButton.o,Screen.a,false
__ct__11BatteryInfoFP11LayoutActorPCci,BatteryInfo.o,Screen.a,false
exeEnought__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
exeLowAppear__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
exeLow__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
exeLowHide__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
exeCriticalAppear__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
exeCritical__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
exeNoneAppear__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
exeNone__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
exeNoneHide__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
exeStartAnimAndSetNerveIfStopped__11BatteryInfoFPCcPC5Nerve,BatteryInfo.o,Screen.a,false
tryChangeNerveWithBatteryLeftAlreadyAppear__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
__ct__13BatteryLayoutFv,BatteryInfo.o,Screen.a,false
init__13BatteryLayoutFRC12JMapInfoIter,BatteryInfo.o,Screen.a,false
appear__13BatteryLayoutFv,BatteryInfo.o,Screen.a,false
control__13BatteryLayoutFv,BatteryInfo.o,Screen.a,false
__dt__11BatteryInfoFv,BatteryInfo.o,Screen.a,false
__dt__13BatteryLayoutFv,BatteryInfo.o,Screen.a,false
__sinit_\BatteryInfo_cpp,BatteryInfo.o,Screen.a,false
__ct__Q225@unnamed@BatteryInfo_cpp@18BatteryInfoEnoughtFv,BatteryInfo.o,Screen.a,false
__ct__Q225@unnamed@BatteryInfo_cpp@20BatteryInfoLowAppearFv,BatteryInfo.o,Screen.a,false
__ct__Q225@unnamed@BatteryInfo_cpp@14BatteryInfoLowFv,BatteryInfo.o,Screen.a,false
__ct__Q225@unnamed@BatteryInfo_cpp@23BatteryInfoLowDisappearFv,BatteryInfo.o,Screen.a,false
__ct__Q225@unnamed@BatteryInfo_cpp@18BatteryInfoLowHideFv,BatteryInfo.o,Screen.a,false
