Symbol Name, Object File, Library Archive, Matching
setMixingBuffer__14SpkSpeakerCtrlFP15SpkMixingBuffer,SpkSpeakerCtrl.o,Speaker.a,true
setup__14SpkSpeakerCtrlFv,SpkSpeakerCtrl.o,Speaker.a,false
connect__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,false
disconnect__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,false
setSpeakerOn__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,true
setSpeakerOnCallback__14SpkSpeakerCtrlFll,SpkSpeakerCtrl.o,Speaker.a,true
setSpeakerPlay__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,true
startPlayCallback__14SpkSpeakerCtrlFll,SpkSpeakerCtrl.o,Speaker.a,false
setSpeakerOff__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,true
retryConnection__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,true
reconnect__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,true
framework__14SpkSpeakerCtrlFv,SpkSpeakerCtrl.o,Speaker.a,true
reconnectProcess__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,true
initReconnect__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,true
continuousUsingProcess__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,true
updateSpeaker__14SpkSpeakerCtrlFP7OSAlarmP9OSContext,SpkSpeakerCtrl.o,Speaker.a,true
isEnable__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,true
extensionProcess__14SpkSpeakerCtrlFll,SpkSpeakerCtrl.o,Speaker.a,true
getDeviceVolume__14SpkSpeakerCtrlFl,SpkSpeakerCtrl.o,Speaker.a,true
__sinit_\SpkSpeakerCtrl_cpp,SpkSpeakerCtrl.o,Speaker.a,true
__arraydtor$3716,SpkSpeakerCtrl.o,Speaker.a,true
__ct__9SpkSystemFP7JKRHeap,SpkSystem.o,Speaker.a,true
__dt__18JSUList<8SpkSound>Fv,SpkSystem.o,Speaker.a,true
setResource__9SpkSystemFP10JKRArchiveUsUs,SpkSystem.o,Speaker.a,true
framework__9SpkSystemFv,SpkSystem.o,Speaker.a,true
startSound__9SpkSystemFllP14SpkSoundHandle,SpkSystem.o,Speaker.a,true
newSoundMemPool__9SpkSystemFl,SpkSystem.o,Speaker.a,true
connect__9SpkSystemFl,SpkSystem.o,Speaker.a,true
disconnect__9SpkSystemFl,SpkSystem.o,Speaker.a,true
reconnect__9SpkSystemFl,SpkSystem.o,Speaker.a,true
extensionProcess__9SpkSystemFll,SpkSystem.o,Speaker.a,true
getDeviceVolume__9SpkSystemFl,SpkSystem.o,Speaker.a,true
__sinit_\SpkSystem_cpp,SpkSystem.o,Speaker.a,false
__ct__21JASMemPool<8SpkSound>Fv,SpkSystem.o,Speaker.a,false
__dt__21JASMemPool<8SpkSound>Fv,SpkSystem.o,Speaker.a,false
__ct__15SpkMixingBufferFP7JKRHeap,SpkMixingBuffer.o,Speaker.a,true
mix__15SpkMixingBufferFlPslfl,SpkMixingBuffer.o,Speaker.a,false
getSamples__15SpkMixingBufferCFl,SpkMixingBuffer.o,Speaker.a,true
update__15SpkMixingBufferFl,SpkMixingBuffer.o,Speaker.a,true
__ct__7SpkWaveFv,SpkWave.o,Speaker.a,true
setResource__7SpkWaveFPv,SpkWave.o,Speaker.a,true
getWaveSize__7SpkWaveCFl,SpkWave.o,Speaker.a,true
getLoopStartPos__7SpkWaveCFl,SpkWave.o,Speaker.a,true
getLoopEndPos__7SpkWaveCFl,SpkWave.o,Speaker.a,true
getWave__7SpkWaveCFl,SpkWave.o,Speaker.a,true
getWaveData__7SpkWaveCFl,SpkWave.o,Speaker.a,true
__ct__8SpkTableFv,SpkTable.o,Speaker.a,true
setResource__8SpkTableFPv,SpkTable.o,Speaker.a,false
__ct__7SpkDataFP10JKRArchive,SpkData.o,Speaker.a,true
loadTable__7SpkDataFUs,SpkData.o,Speaker.a,true
loadWave__7SpkDataFUs,SpkData.o,Speaker.a,true
isValid__7SpkDataCFv,SpkData.o,Speaker.a,true
releaseSound__14SpkSoundHandleFv,SpkSound.o,Speaker.a,true
__ct__14SpkSoundVolumeFv,SpkSound.o,Speaker.a,true
setRelease__14SpkSoundVolumeFl,SpkSound.o,Speaker.a,true
setFadeOut__14SpkSoundVolumeFl,SpkSound.o,Speaker.a,true
calc__14SpkSoundVolumeFRb,SpkSound.o,Speaker.a,false
__ct__8SpkSoundFv,SpkSound.o,Speaker.a,true
__dt__8SpkSoundFv,SpkSound.o,Speaker.a,false
update__8SpkSoundFf,SpkSound.o,Speaker.a,false
stop__8SpkSoundFl,SpkSound.o,Speaker.a,true
attachHandle__8SpkSoundFP14SpkSoundHandle,SpkSound.o,Speaker.a,true
releaseHandle__8SpkSoundFv,SpkSound.o,Speaker.a,true
start__8SpkSoundFll,SpkSound.o,Speaker.a,true
unlock__8SpkSoundFv,SpkSound.o,Speaker.a,true
setWaveData__8SpkSoundFl,SpkSound.o,Speaker.a,false
__ct__14SpkSoundHolderFv,SpkSound.o,Speaker.a,true
startSound__14SpkSoundHolderFllP14SpkSoundHandle,SpkSound.o,Speaker.a,false
update__14SpkSoundHolderFl,SpkSound.o,Speaker.a,true
updateEachSound__14SpkSoundHolderFl,SpkSound.o,Speaker.a,false
freeDeadSound__14SpkSoundHolderFl,SpkSound.o,Speaker.a,false
framework__14SpkSoundHolderFv,SpkSound.o,Speaker.a,false
__ct__18JSUList<8SpkSound>Fv,SpkSound.o,Speaker.a,true
__sinit_\SpkSound_cpp,SpkSound.o,Speaker.a,false
