Symbol Name, Object File, Library Archive, Matching
__ct__15AlreadyDoneInfoFv,AlreadyDoneFlagInGalaxy.o,System.a,true
clear__15AlreadyDoneInfoFv,AlreadyDoneFlagInGalaxy.o,System.a,true
init__15AlreadyDoneInfoFPCcll,AlreadyDoneFlagInGalaxy.o,System.a,true
isEqual__15AlreadyDoneInfoCFRC15AlreadyDoneInfo,AlreadyDoneFlagInGalaxy.o,System.a,true
set__15AlreadyDoneInfoFb,AlreadyDoneFlagInGalaxy.o,System.a,true
__ct__23AlreadyDoneFlagInGalaxyFi,AlreadyDoneFlagInGalaxy.o,System.a,true
clear__23AlreadyDoneFlagInGalaxyFv,AlreadyDoneFlagInGalaxy.o,System.a,true
setupFlag__23AlreadyDoneFlagInGalaxyFPCcRC12JMapInfoIterPUl,AlreadyDoneFlagInGalaxy.o,System.a,false
updateValue__23AlreadyDoneFlagInGalaxyFiUl,AlreadyDoneFlagInGalaxy.o,System.a,false
__ct__25ArchiveHolderArchiveEntryFPvP7JKRHeapPCc,ArchiveHolder.o,System.a,false
__dt__25ArchiveHolderArchiveEntryFv,ArchiveHolder.o,System.a,false
__ct__13ArchiveHolderFv,ArchiveHolder.o,System.a,false
createAndAdd__13ArchiveHolderFPvP7JKRHeapPCc,ArchiveHolder.o,System.a,false
getArchive__13ArchiveHolderCFPCc,ArchiveHolder.o,System.a,false
getArchiveAndHeap__13ArchiveHolderCFPCcPP10JKRArchivePP7JKRHeap,ArchiveHolder.o,System.a,false
removeIfIsEqualHeap__13ArchiveHolderFP7JKRHeap,ArchiveHolder.o,System.a,false
findEntry__13ArchiveHolderCFPCc,ArchiveHolder.o,System.a,false
__ct__16AudSystemWrapperFP12JKRSolidHeapP7JKRHeap,AudSystemWrapper.o,System.a,false
requestResourceForInitialize__16AudSystemWrapperFv,AudSystemWrapper.o,System.a,false
createAudioSystem__16AudSystemWrapperFv,AudSystemWrapper.o,System.a,false
createSoundNameConverter__16AudSystemWrapperFv,AudSystemWrapper.o,System.a,false
updateRhythm__16AudSystemWrapperFv,AudSystemWrapper.o,System.a,false
movement__16AudSystemWrapperFv,AudSystemWrapper.o,System.a,false
stopAllSound__16AudSystemWrapperFUl,AudSystemWrapper.o,System.a,false
isLoadDoneWaveDataAtSystemInit__16AudSystemWrapperCFv,AudSystemWrapper.o,System.a,false
loadStaticWaveData__16AudSystemWrapperFv,AudSystemWrapper.o,System.a,false
isLoadDoneStaticWaveData__16AudSystemWrapperCFv,AudSystemWrapper.o,System.a,false
loadStageWaveData__16AudSystemWrapperFPCcPCcb,AudSystemWrapper.o,System.a,false
isLoadDoneStageWaveData__16AudSystemWrapperCFv,AudSystemWrapper.o,System.a,false
loadScenarioWaveData__16AudSystemWrapperFPCcPCcl,AudSystemWrapper.o,System.a,false
isLoadDoneScenarioWaveData__16AudSystemWrapperCFv,AudSystemWrapper.o,System.a,false
isPermitToReset__16AudSystemWrapperCFv,AudSystemWrapper.o,System.a,false
prepareReset__16AudSystemWrapperFv,AudSystemWrapper.o,System.a,false
requestReset__16AudSystemWrapperFb,AudSystemWrapper.o,System.a,false
isResetDone__16AudSystemWrapperFv,AudSystemWrapper.o,System.a,false
resumeReset__16AudSystemWrapperFv,AudSystemWrapper.o,System.a,false
receiveResourceForInitialize__16AudSystemWrapperFv,AudSystemWrapper.o,System.a,false
__ct__21BinaryDataChunkHolderFUli,BinaryDataChunkHolder.o,System.a,false
addChunk__21BinaryDataChunkHolderFP19BinaryDataChunkBase,BinaryDataChunkHolder.o,System.a,true
makeFileBinary__21BinaryDataChunkHolderFPUcUl,BinaryDataChunkHolder.o,System.a,false
loadFromFileBinary__21BinaryDataChunkHolderFPCUcUl,BinaryDataChunkHolder.o,System.a,false
makeChunkData__21BinaryDataChunkHolderFP30BinaryDataChunkHolderChunkDataUlPC19BinaryDataChunkBase,BinaryDataChunkHolder.o,System.a,false
findFromSignature__21BinaryDataChunkHolderCFUl,BinaryDataChunkHolder.o,System.a,true
calcBinarySize__21BinaryDataChunkHolderFPCUc,BinaryDataChunkHolder.o,System.a,false
__ct__33BinaryDataContentHeaderSerializerFPUcUl,BinaryDataContentAccessor.o,System.a,false
addAttribute__33BinaryDataContentHeaderSerializerFPCcUl,BinaryDataContentAccessor.o,System.a,false
flush__33BinaryDataContentHeaderSerializerFv,BinaryDataContentAccessor.o,System.a,false
getHeaderSize__33BinaryDataContentHeaderSerializerCFv,BinaryDataContentAccessor.o,System.a,false
getDataSize__33BinaryDataContentHeaderSerializerCFv,BinaryDataContentAccessor.o,System.a,false
__ct__25BinaryDataContentAccessorFPUc,BinaryDataContentAccessor.o,System.a,false
getHeaderSize__25BinaryDataContentAccessorCFv,BinaryDataContentAccessor.o,System.a,false
getDataSize__25BinaryDataContentAccessorCFv,BinaryDataContentAccessor.o,System.a,false
getPointer__25BinaryDataContentAccessorCFPCcPUc,BinaryDataContentAccessor.o,System.a,false
__dt__21JSUMemoryOutputStreamFv,BinaryDataContentAccessor.o,System.a,false
getPosition__21JSUMemoryOutputStreamCFv,BinaryDataContentAccessor.o,System.a,false
__dt__20JSUMemoryInputStreamFv,BinaryDataContentAccessor.o,System.a,false
