Symbol Name, Object File, Library Archive, Matching
AXFXReverbHiInit,AXFXReverbHi.o,axfx.a,false
AXFXReverbHiShutdown,AXFXReverbHi.o,axfx.a,false
AXFXReverbHiCallback,AXFXReverbHi.o,axfx.a,false
AXFXReverbHiExpInit,AXFXReverbHiExp.o,axfx.a,false
AXFXReverbHiExpShutdown,AXFXReverbHiExp.o,axfx.a,false
AXFXReverbHiExpCallback,AXFXReverbHiExp.o,axfx.a,false
__AllocDelayLine,AXFXReverbHiExp.o,axfx.a,false
__BzeroDelayLines,AXFXReverbHiExp.o,axfx.a,false
__FreeDelayLine,AXFXReverbHiExp.o,axfx.a,false
__InitParams,AXFXReverbHiExp.o,axfx.a,false
__AXFXAllocFunction,AXFXHooks.o,axfx.a,false
__AXFXFreeFunction,AXFXHooks.o,axfx.a,false
AXFXSetHooks,AXFXHooks.o,axfx.a,false
AXFXGetHooks,AXFXHooks.o,axfx.a,false
