Symbol Name, Object File, Library Archive, Matching
GDInitGDLObj,GDBase.o,gd.a,false
GDFlushCurrToMem,GDBase.o,gd.a,false
GDPadCurr32,GDBase.o,gd.a,false
GDOverflowed,GDBase.o,gd.a,false
GDSetVtxDescv,GDGeometry.o,gd.a,false
GDSetArray,GDGeometry.o,gd.a,false
GDSetArrayRaw,GDGeometry.o,gd.a,false
GDSetTexCoordGen,GDGeometry.o,gd.a,false
GDSetCullMode,GDGeometry.o,gd.a,false
GDSetGenMode,GDGeometry.o,gd.a,false
GDSetGenMode2,GDGeometry.o,gd.a,false
GDSetTevDirect,GDIndirect.o,gd.a,false
GDSetChanAmbColor,GDLight.o,gd.a,false
GDSetChanMatColor,GDLight.o,gd.a,false
GDSetChanCtrl,GDLight.o,gd.a,false
GDSetFog,GDPixel.o,gd.a,false
GDSetBlendMode,GDPixel.o,gd.a,false
GDSetBlendModeEtc,GDPixel.o,gd.a,false
GDSetZMode,GDPixel.o,gd.a,false
GDSetDstAlpha,GDPixel.o,gd.a,false
GDSetTevColorCalc,GDTev.o,gd.a,false
GDSetTevAlphaCalcAndSwap,GDTev.o,gd.a,false
GDSetTevColor,GDTev.o,gd.a,false
GDSetAlphaCompare,GDTev.o,gd.a,false
GDSetTevOrder,GDTev.o,gd.a,false
GDSetTexLookupMode,GDTexture.o,gd.a,false
GDSetTexImgAttr,GDTexture.o,gd.a,false
GDSetTexImgPtr,GDTexture.o,gd.a,false
GDSetCurrentMtx,GDTransform.o,gd.a,false
