Symbol Name, Object File, Library Archive, Matching
GetGlyph__Q44nw4r2ut6detail11ResFontBaseCFPQ34nw4r2ut5GlyphUs,ut_ResFontBase.o,libnw4r_ut.a,false
HasGlyph__Q44nw4r2ut6detail11ResFontBaseCFUs,ut_ResFontBase.o,libnw4r_ut.a,false
GetEncoding__Q44nw4r2ut6detail11ResFontBaseCFv,ut_ResFontBase.o,libnw4r_ut.a,false
FindGlyphIndex__Q44nw4r2ut6detail11ResFontBaseCFPCQ34nw4r2ut11FontCodeMapUs,ut_ResFontBase.o,libnw4r_ut.a,false
GetGlyphFromIndex__Q44nw4r2ut6detail11ResFontBaseCFPQ34nw4r2ut5GlyphUs,ut_ResFontBase.o,libnw4r_ut.a,false
__ct__Q34nw4r2ut7ResFontFv,ut_ResFont.o,libnw4r_ut.a,false
__dt__Q34nw4r2ut7ResFontFv,ut_ResFont.o,libnw4r_ut.a,false
SetResource__Q34nw4r2ut7ResFontFPv,ut_ResFont.o,libnw4r_ut.a,false
RemoveResource__Q34nw4r2ut7ResFontFv,ut_ResFont.o,libnw4r_ut.a,false
Rebuild__Q34nw4r2ut7ResFontFPQ34nw4r2ut16BinaryFileHeader,ut_ResFont.o,libnw4r_ut.a,false
__dt__Q34nw4r2ut5ColorFv,ut_CharWriter.o,libnw4r_ut.a,false
__ct__Q34nw4r2ut10CharWriterFv,ut_CharWriter.o,libnw4r_ut.a,false
SetColorMapping__Q34nw4r2ut10CharWriterFQ34nw4r2ut5ColorQ34nw4r2ut5Color,ut_CharWriter.o,libnw4r_ut.a,false
SetTextColor__Q34nw4r2ut10CharWriterFQ34nw4r2ut5Color,ut_CharWriter.o,libnw4r_ut.a,false
__dt__Q34nw4r2ut10CharWriterFv,ut_CharWriter.o,libnw4r_ut.a,false
SetupGX__Q34nw4r2ut10CharWriterFv,ut_CharWriter.o,libnw4r_ut.a,false
SetFontSize__Q34nw4r2ut10CharWriterFff,ut_CharWriter.o,libnw4r_ut.a,false
GetFontWidth__Q34nw4r2ut10CharWriterCFv,ut_CharWriter.o,libnw4r_ut.a,false
GetFontHeight__Q34nw4r2ut10CharWriterCFv,ut_CharWriter.o,libnw4r_ut.a,false
GetFontAscent__Q34nw4r2ut10CharWriterCFv,ut_CharWriter.o,libnw4r_ut.a,false
Print__Q34nw4r2ut10CharWriterFUs,ut_CharWriter.o,libnw4r_ut.a,false
PrintGlyph__Q34nw4r2ut10CharWriterFfffRCQ34nw4r2ut5Glyph,ut_CharWriter.o,libnw4r_ut.a,false
UpdateVertexColor__Q34nw4r2ut10CharWriterFv,ut_CharWriter.o,libnw4r_ut.a,false
SetupGXWithColorMapping__Q34nw4r2ut10CharWriterFQ34nw4r2ut5ColorQ34nw4r2ut5Color,ut_CharWriter.o,libnw4r_ut.a,false
GetLineHeight__Q34nw4r2ut17TextWriterBase<c>CFv,ut_TextWriterBase.o,libnw4r_ut.a,false
GetCharStrmReader__Q34nw4r2ut4FontCFv,ut_TextWriterBase.o,libnw4r_ut.a,false
__ct__Q34nw4r2ut17TextWriterBase<w>Fv,ut_TextWriterBase.o,libnw4r_ut.a,false
__dt__Q34nw4r2ut17TextWriterBase<w>Fv,ut_TextWriterBase.o,libnw4r_ut.a,false
GetLineHeight__Q34nw4r2ut17TextWriterBase<w>CFv,ut_TextWriterBase.o,libnw4r_ut.a,false
CalcStringWidth__Q34nw4r2ut17TextWriterBase<w>CFPCwi,ut_TextWriterBase.o,libnw4r_ut.a,false
CalcStringRect__Q34nw4r2ut17TextWriterBase<w>CFPQ34nw4r2ut4RectPCwi,ut_TextWriterBase.o,libnw4r_ut.a,false
Print__Q34nw4r2ut17TextWriterBase<w>FPCwi,ut_TextWriterBase.o,libnw4r_ut.a,false
CalcLineWidth__Q34nw4r2ut17TextWriterBase<w>FPCwi,ut_TextWriterBase.o,libnw4r_ut.a,false
CalcLineRectImpl__Q34nw4r2ut17TextWriterBase<w>FPQ34nw4r2ut4RectPPCwi,ut_TextWriterBase.o,libnw4r_ut.a,false
GetCharSpace__Q34nw4r2ut17TextWriterBase<w>CFv,ut_TextWriterBase.o,libnw4r_ut.a,false
CalcStringRectImpl__Q34nw4r2ut17TextWriterBase<w>FPQ34nw4r2ut4RectPCwi,ut_TextWriterBase.o,libnw4r_ut.a,false
AdjustCursor__Q34nw4r2ut17TextWriterBase<w>FPfPfPCwi,ut_TextWriterBase.o,libnw4r_ut.a,false
__sinit_\ut_TextWriterBase_cpp,ut_TextWriterBase.o,libnw4r_ut.a,false
