Symbol Name, Object File, Library Archive, Matching
RSONotifyModuleLoaded,RSOLink.o,rso.a,false
RSONotifyPreRSOLink,RSOLink.o,rso.a,false
RSONotifyPostRSOLink,RSOLink.o,rso.a,false
RSONotifyPreRSOLinkFar,RSOLink.o,rso.a,false
RSONotifyPostRSOLinkFar,RSOLink.o,rso.a,false
LocateObject,RSOLink.o,rso.a,false
RSOStaticLocateObject,RSOLink.o,rso.a,false
RSOLink,RSOLink.o,rso.a,false
RSOIsImportSymbolResolvedAll,RSOLink.o,rso.a,false
FindExportIndex,RSOLink.o,rso.a,false
RSOFindExportSymbolAddr,RSOLink.o,rso.a,false
RSORelocate,RSOLink.o,rso.a,false
RSORelocateSmallDataSection,RSOLink.o,rso.a,false
RSOListInit,RSOLink.o,rso.a,false
LinkList,RSOLink.o,rso.a,false
RSOLinkList,RSOLink.o,rso.a,false
cnvJumpCode,RSOLink.o,rso.a,false
RSOGetJumpCodeSize,RSOLink.o,rso.a,false
RSOMakeJumpCode,RSOLink.o,rso.a,false
RSOLinkJump,RSOLink.o,rso.a,false
