Symbol Name, Object File, Library Archive, Matching
SCInit,scsystem.o,sc.a,false
SCCheckStatus,scsystem.o,sc.a,false
SCReloadConfFileAsync,scsystem.o,sc.a,false
OpenCallbackFromReload,scsystem.o,sc.a,false
ReadCallbackFromReload,scsystem.o,sc.a,false
CloseCallbackFromReload,scsystem.o,sc.a,false
FinishFromReload,scsystem.o,sc.a,false
CloseCallbackFromReloadError,scsystem.o,sc.a,false
ParseConfBuf,scsystem.o,sc.a,false
UnpackItem,scsystem.o,sc.a,false
DeleteItemByID,scsystem.o,sc.a,false
CreateItemByID,scsystem.o,sc.a,false
SCFindByteArrayItem,scsystem.o,sc.a,false
SCReplaceByteArrayItem,scsystem.o,sc.a,false
SCReplaceIntegerItem,scsystem.o,sc.a,false
SCFindU8Item,scsystem.o,sc.a,false
SCFindS8Item,scsystem.o,sc.a,false
SCFindU32Item,scsystem.o,sc.a,false
SCReplaceU8Item,scsystem.o,sc.a,false
__SCFlushSyncCallback,scsystem.o,sc.a,false
SCFlushAsync,scsystem.o,sc.a,false
MyNandCallback,scsystem.o,sc.a,false
SCGetAspectRatio,scapi.o,sc.a,false
SCGetDisplayOffsetH,scapi.o,sc.a,false
SCGetEuRgb60Mode,scapi.o,sc.a,false
SCGetIdleMode,scapi.o,sc.a,false
SCGetLanguage,scapi.o,sc.a,false
SCGetProgressiveMode,scapi.o,sc.a,false
SCGetScreenSaverMode,scapi.o,sc.a,false
SCGetSoundMode,scapi.o,sc.a,false
SCGetCounterBias,scapi.o,sc.a,false
SCGetBtDeviceInfoArray,scapi.o,sc.a,false
SCSetBtDeviceInfoArray,scapi.o,sc.a,false
SCGetBtCmpDevInfoArray,scapi.o,sc.a,false
SCSetBtCmpDevInfoArray,scapi.o,sc.a,false
SCGetBtDpdSensibility,scapi.o,sc.a,false
SCGetWpadMotorMode,scapi.o,sc.a,false
SCSetWpadMotorMode,scapi.o,sc.a,false
SCGetWpadSensorBarPosition,scapi.o,sc.a,false
SCGetWpadSpeakerVolume,scapi.o,sc.a,false
SCSetWpadSpeakerVolume,scapi.o,sc.a,false
__SCF1,scapi_prdinfo.o,sc.a,false
SCGetProductArea,scapi_prdinfo.o,sc.a,false
SCGetProductGameRegion,scapi_prdinfo.o,sc.a,false
