Symbol Name, Object File, Library Archive, Matching
noAlloc,WPAD.o,wpad.a,false
noFree,WPAD.o,wpad.a,false
OnShutdown,WPAD.o,wpad.a,false
WPADiSendData,WPAD.o,wpad.a,false
WPADiRadioSensitivity,WPAD.o,wpad.a,false
IsControllerDataChanged,WPAD.o,wpad.a,false
CheckButtonCombination,WPAD.o,wpad.a,false
WPADiCheckContInputs,WPAD.o,wpad.a,false
WPADiManageHandler,WPAD.o,wpad.a,false
WPADiManageHandler0,WPAD.o,wpad.a,false
__ClearControlBlock,WPAD.o,wpad.a,false
WPADiInitSub,WPAD.o,wpad.a,false
WPADInit,WPAD.o,wpad.a,false
WPADStartFastSimpleSync,WPAD.o,wpad.a,false
WPADStopSimpleSync,WPAD.o,wpad.a,false
WPADSetSimpleSyncCallback,WPAD.o,wpad.a,false
WPADRegisterAllocator,WPAD.o,wpad.a,false
WPADGetWorkMemorySize,WPAD.o,wpad.a,false
WPADGetStatus,WPAD.o,wpad.a,false
WPADGetSensorBarPosition,WPAD.o,wpad.a,false
setupCallback,WPAD.o,wpad.a,false
abortConnCallback,WPAD.o,wpad.a,false
firmwareCheckCallback,WPAD.o,wpad.a,false
WPADiRetrieveChannel,WPAD.o,wpad.a,false
WPADiConnCallback,WPAD.o,wpad.a,false
WPADiRecvCallback,WPAD.o,wpad.a,false
WPADGetAccGravityUnit,WPAD.o,wpad.a,false
CloseCallback,WPAD.o,wpad.a,false
WPADDisconnect,WPAD.o,wpad.a,false
WPADSetAutoSleepTime,WPAD.o,wpad.a,false
WPADProbe,WPAD.o,wpad.a,false
WPADSetSamplingCallback,WPAD.o,wpad.a,false
WPADSetConnectCallback,WPAD.o,wpad.a,false
WPADSetExtensionCallback,WPAD.o,wpad.a,false
WPADGetDataFormat,WPAD.o,wpad.a,false
WPADSetDataFormat,WPAD.o,wpad.a,false
__infoCallback,WPAD.o,wpad.a,false
WPADGetInfoAsync,WPAD.o,wpad.a,false
WPADControlMotor,WPAD.o,wpad.a,false
WPADEnableMotor,WPAD.o,wpad.a,false
WPADIsMotorEnabled,WPAD.o,wpad.a,false
WPADControlLed,WPAD.o,wpad.a,false
WPADSaveConfig,WPAD.o,wpad.a,false
WPADRead,WPAD.o,wpad.a,false
WPADSetAutoSamplingBuf,WPAD.o,wpad.a,false
WPADiExcludeButton,WPAD.o,wpad.a,false
WPADiCopyOut,WPAD.o,wpad.a,false
WPADIsSpeakerEnabled,WPAD.o,wpad.a,false
WPADControlSpeaker,WPAD.o,wpad.a,false
WPADGetSpeakerVolume,WPAD.o,wpad.a,false
WPADSetSpeakerVolume,WPAD.o,wpad.a,false
IsBusyStream,WPAD.o,wpad.a,false
WPADCanSendStreamData,WPAD.o,wpad.a,false
WPADSendStreamData,WPAD.o,wpad.a,false
WPADGetDpdSensitivity,WPAD.o,wpad.a,false
WPADIsDpdEnabled,WPAD.o,wpad.a,false
__dpdCb,WPAD.o,wpad.a,false
WPADControlDpd,WPAD.o,wpad.a,false
__SendData,WPAD.o,wpad.a,false
WPADiSendSetReportType,WPAD.o,wpad.a,false
WPADiSendWriteDataCmd,WPAD.o,wpad.a,false
WPADiSendWriteData,WPAD.o,wpad.a,false
WPADiSendReadData,WPAD.o,wpad.a,false
WPADiClearQueue,WPAD.o,wpad.a,false
abortInitExtension,WPADHIDParser.o,wpad.a,false
getDevConfig,WPADHIDParser.o,wpad.a,false
getExtConfig,WPADHIDParser.o,wpad.a,false
getExtType,WPADHIDParser.o,wpad.a,false
getGameInfo,WPADHIDParser.o,wpad.a,false
WPADiHIDParser,WPADHIDParser.o,wpad.a,false
__a1_20_status_report,WPADHIDParser.o,wpad.a,false
__a1_21_user_data,WPADHIDParser.o,wpad.a,false
__a1_22_ack,WPADHIDParser.o,wpad.a,false
__parse_dpd_data,WPADHIDParser.o,wpad.a,false
__a1_30_data_type,WPADHIDParser.o,wpad.a,false
__a1_31_data_type,WPADHIDParser.o,wpad.a,false
__a1_32_data_type,WPADHIDParser.o,wpad.a,false
__a1_33_data_type,WPADHIDParser.o,wpad.a,false
__a1_34_data_type,WPADHIDParser.o,wpad.a,false
__a1_35_data_type,WPADHIDParser.o,wpad.a,false
__a1_36_data_type,WPADHIDParser.o,wpad.a,false
__a1_37_data_type,WPADHIDParser.o,wpad.a,false
__a1_3d_data_type,WPADHIDParser.o,wpad.a,false
__a1_3e_data_type,WPADHIDParser.o,wpad.a,false
__a1_3f_data_type,WPADHIDParser.o,wpad.a,false
__a1_unused_report,WPADHIDParser.o,wpad.a,false
WPADiCreateKey,WPADEncrypt.o,wpad.a,false
WPADiCreateKeyFor3rd,WPADEncrypt.o,wpad.a,false
WPADiDecode,WPADEncrypt.o,wpad.a,false
DEBUGPrint,debug_msg.o,wpad.a,false
