Symbol Name, Object File, Library Archive, Matching
App_MEMalloc,WUD.o,wud.a,false
App_MEMfree,WUD.o,wud.a,false
SyncFlushCallback,WUD.o,wud.a,false
DeleteFlushCallback,WUD.o,wud.a,false
ShutFlushCallback,WUD.o,wud.a,false
InitFlushCallback,WUD.o,wud.a,false
WUDiIsSyncDisabled,WUD.o,wud.a,false
WUDiSaveDeviceToNand,WUD.o,wud.a,false
WUDiSyncDone,WUD.o,wud.a,false
SyncHandler,WUD.o,wud.a,false
SyncHandler0,WUD.o,wud.a,false
WUDiTerminateDevice,WUD.o,wud.a,false
WUDiDeleteDevice,WUD.o,wud.a,false
DeleteAllHandler,WUD.o,wud.a,false
DeleteAllHandler0,WUD.o,wud.a,false
WUDiClearUnregisteredDevice,WUD.o,wud.a,false
EnableStackHandler,WUD.o,wud.a,false
EnableStackHandler0,WUD.o,wud.a,false
WUDiGetRegisteredDevice,WUD.o,wud.a,false
InitHandler,WUD.o,wud.a,false
InitHandler0,WUD.o,wud.a,false
ShutdownHandler,WUD.o,wud.a,false
ShutdownHandler0,WUD.o,wud.a,false
InitCore,WUD.o,wud.a,false
WUDInit,WUD.o,wud.a,false
WUDRegisterAllocator,WUD.o,wud.a,false
WUDGetAllocatedMemSize,WUD.o,wud.a,false
WUDShutdown,WUD.o,wud.a,false
WUDGetStatus,WUD.o,wud.a,false
WUDGetBufferStatus,WUD.o,wud.a,false
WUDSetSniffMode,WUD.o,wud.a,false
WUDSetSyncSimpleCallback,WUD.o,wud.a,false
StartSyncDevice,WUD.o,wud.a,false
WUDStartFastSyncSimple,WUD.o,wud.a,false
WUDCancelSyncDevice,WUD.o,wud.a,false
WUDStopSyncSimple,WUD.o,wud.a,false
WUDSetDisableChannel,WUD.o,wud.a,false
WUDSetHidRecvCallback,WUD.o,wud.a,false
WUDSetHidConnCallback,WUD.o,wud.a,false
WUDSetVisibility,WUD.o,wud.a,false
reset_again_cb,WUD.o,wud.a,false
remove_patch_cb,WUD.o,wud.a,false
write_patch_cb,WUD.o,wud.a,false
install_patch_cb,WUD.o,wud.a,false
WUDiInitSub,WUD.o,wud.a,false
WUDiRegisterDevice,WUD.o,wud.a,false
WUDiRemoveDevice,WUD.o,wud.a,false
WUDiGetDevInfo,WUD.o,wud.a,false
WUDiGetNewDevInfo,WUD.o,wud.a,false
WUDiMoveTopSmpDevInfoPtr,WUD.o,wud.a,false
WUDiMoveBottomSmpDevInfoPtr,WUD.o,wud.a,false
WUDiMoveTopOfDisconnectedSmpDevice,WUD.o,wud.a,false
WUDiMoveTopStdDevInfoPtr,WUD.o,wud.a,false
WUDiMoveBottomStdDevInfoPtr,WUD.o,wud.a,false
WUDiMoveTopOfDisconnectedStdDevice,WUD.o,wud.a,false
WUDIsBusy,WUD.o,wud.a,false
CleanupCallback,WUD.o,wud.a,false
WUDSecurityCallback,WUD.o,wud.a,false
WUDSearchCallback,WUD.o,wud.a,false
WUDVendorSpecificCallback,WUD.o,wud.a,false
WUDDeviceStatusCallback,WUD.o,wud.a,false
WUDStoredLinkKeyCallback,WUD.o,wud.a,false
WUDPowerManagerCallback,WUD.o,wud.a,false
_WUDGetDevAddr,WUD.o,wud.a,false
_WUDGetQueuedSize,WUD.o,wud.a,false
_WUDGetNotAckedSize,WUD.o,wud.a,false
_WUDGetLinkNumber,WUD.o,wud.a,false
WUDHidHostCallback,WUDHidHost.o,wud.a,false
bta_hh_co_data,WUDHidHost.o,wud.a,false
bta_hh_co_open,WUDHidHost.o,wud.a,false
bta_hh_co_close,WUDHidHost.o,wud.a,false
bta_dm_co_get_compress_memory,WUDHidHost.o,wud.a,false
WUD_DEBUGPrint,debug_msg.o,wud.a,false
