Symbol Name, Object File, Library Archive, Matching
__ct__7JKRHeapFPvUlP7JKRHeapb,JKRHeap.o,JKernel.a,false
__dt__17JSULink<7JKRHeap>Fv,JKRHeap.o,JKernel.a,true
__dt__17JSUTree<7JKRHeap>Fv,JKRHeap.o,JKernel.a,false
__dt__22JSUList<11JKRDisposer>Fv,JKRHeap.o,JKernel.a,false
__dt__7JKRHeapFv,JKRHeap.o,JKernel.a,true
initArena__7JKRHeapFPPcPUli,JKRHeap.o,JKernel.a,false
becomeSystemHeap__7JKRHeapFv,JKRHeap.o,JKernel.a,false
becomeCurrentHeap__7JKRHeapFv,JKRHeap.o,JKernel.a,true
destroy__7JKRHeapFP7JKRHeap,JKRHeap.o,JKernel.a,false
alloc__7JKRHeapFUliP7JKRHeap,JKRHeap.o,JKernel.a,true
alloc__7JKRHeapFUli,JKRHeap.o,JKernel.a,false
free__7JKRHeapFPvP7JKRHeap,JKRHeap.o,JKernel.a,true
free__7JKRHeapFPv,JKRHeap.o,JKernel.a,false
callAllDisposer__7JKRHeapFv,JKRHeap.o,JKernel.a,true
freeAll__7JKRHeapFv,JKRHeap.o,JKernel.a,false
freeTail__7JKRHeapFv,JKRHeap.o,JKernel.a,false
resize__7JKRHeapFPvUl,JKRHeap.o,JKernel.a,false
getFreeSize__7JKRHeapFv,JKRHeap.o,JKernel.a,false
getMaxFreeBlock__7JKRHeapFv,JKRHeap.o,JKernel.a,false
getTotalFreeSize__7JKRHeapFv,JKRHeap.o,JKernel.a,false
findFromRoot__7JKRHeapFPv,JKRHeap.o,JKernel.a,true
find__7JKRHeapCFPv,JKRHeap.o,JKernel.a,false
findAllHeap__7JKRHeapCFPv,JKRHeap.o,JKernel.a,false
dispose_subroutine__7JKRHeapFUlUl,JKRHeap.o,JKernel.a,false
dispose__7JKRHeapFPvUl,JKRHeap.o,JKernel.a,false
dispose__7JKRHeapFPvPv,JKRHeap.o,JKernel.a,false
dispose__7JKRHeapFv,JKRHeap.o,JKernel.a,false
copyMemory__7JKRHeapFPvPvUl,JKRHeap.o,JKernel.a,false
JKRDefaultMemoryErrorRoutine__FPvUli,JKRHeap.o,JKernel.a,false
setErrorHandler__7JKRHeapFPFPvUli_v,JKRHeap.o,JKernel.a,false
__nw__FUl,JKRHeap.o,JKernel.a,false
__nw__FUli,JKRHeap.o,JKernel.a,false
__nw__FUlP7JKRHeapi,JKRHeap.o,JKernel.a,false
__nwa__FUl,JKRHeap.o,JKernel.a,false
__nwa__FUli,JKRHeap.o,JKernel.a,false
__nwa__FUlP7JKRHeapi,JKRHeap.o,JKernel.a,false
__dl__FPv,JKRHeap.o,JKernel.a,false
__dla__FPv,JKRHeap.o,JKernel.a,false
state_register__7JKRHeapCFPQ27JKRHeap6TStateUl,JKRHeap.o,JKernel.a,false
state_compare__7JKRHeapCFRCQ27JKRHeap6TStateRCQ27JKRHeap6TState,JKRHeap.o,JKernel.a,false
state_dump__7JKRHeapCFRCQ27JKRHeap6TState,JKRHeap.o,JKernel.a,false
setAltAramStartAdr__7JKRHeapFUl,JKRHeap.o,JKernel.a,false
getAltAramStartAdr__7JKRHeapFv,JKRHeap.o,JKernel.a,false
do_changeGroupID__7JKRHeapFUc,JKRHeap.o,JKernel.a,false
do_getCurrentGroupId__7JKRHeapFv,JKRHeap.o,JKernel.a,false
dump_sort__7JKRHeapFv,JKRHeap.o,JKernel.a,false
__pp__25JSUTreeIterator<7JKRHeap>Fv,JKRHeap.o,JKernel.a,false
__pp__30JSUListIterator<11JKRDisposer>Fi,JKRHeap.o,JKernel.a,false
createRoot__10JKRExpHeapFib,JKRExpHeap.o,JKernel.a,true
create__10JKRExpHeapFUlP7JKRHeapb,JKRExpHeap.o,JKernel.a,false
create__10JKRExpHeapFPvUlP7JKRHeapb,JKRExpHeap.o,JKernel.a,false
do_destroy__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
__ct__10JKRExpHeapFPvUlP7JKRHeapb,JKRExpHeap.o,JKernel.a,false
__dt__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
do_alloc__10JKRExpHeapFUli,JKRExpHeap.o,JKernel.a,false
allocFromHead__10JKRExpHeapFUli,JKRExpHeap.o,JKernel.a,false
allocFromHead__10JKRExpHeapFUl,JKRExpHeap.o,JKernel.a,false
allocFromTail__10JKRExpHeapFUli,JKRExpHeap.o,JKernel.a,false
allocFromTail__10JKRExpHeapFUl,JKRExpHeap.o,JKernel.a,false
do_free__10JKRExpHeapFPv,JKRExpHeap.o,JKernel.a,false
do_freeAll__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
do_freeTail__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
do_fillFreeArea__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
do_changeGroupID__10JKRExpHeapFUc,JKRExpHeap.o,JKernel.a,false
do_resize__10JKRExpHeapFPvUl,JKRExpHeap.o,JKernel.a,false
do_getSize__10JKRExpHeapFPv,JKRExpHeap.o,JKernel.a,false
do_getFreeSize__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
do_getMaxFreeBlock__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
do_getTotalFreeSize__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
getUsedSize__10JKRExpHeapCFUc,JKRExpHeap.o,JKernel.a,false
isEmpty__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
appendUsedList__10JKRExpHeapFPQ210JKRExpHeap9CMemBlock,JKRExpHeap.o,JKernel.a,false
setFreeBlock__10JKRExpHeapFPQ210JKRExpHeap9CMemBlockPQ210JKRExpHeap9CMemBlockPQ210JKRExpHeap9CMemBlock,JKRExpHeap.o,JKernel.a,false
removeFreeBlock__10JKRExpHeapFPQ210JKRExpHeap9CMemBlock,JKRExpHeap.o,JKernel.a,false
removeUsedBlock__10JKRExpHeapFPQ210JKRExpHeap9CMemBlock,JKRExpHeap.o,JKernel.a,false
recycleFreeBlock__10JKRExpHeapFPQ210JKRExpHeap9CMemBlock,JKRExpHeap.o,JKernel.a,false
joinTwoBlocks__10JKRExpHeapFPQ210JKRExpHeap9CMemBlock,JKRExpHeap.o,JKernel.a,false
check__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
dump__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
dump_sort__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
initiate__Q210JKRExpHeap9CMemBlockFPQ210JKRExpHeap9CMemBlockPQ210JKRExpHeap9CMemBlockUlUcUc,JKRExpHeap.o,JKernel.a,false
allocFore__Q210JKRExpHeap9CMemBlockFUlUcUcUcUc,JKRExpHeap.o,JKernel.a,false
allocBack__Q210JKRExpHeap9CMemBlockFUlUcUcUcUc,JKRExpHeap.o,JKernel.a,false
getHeapBlock__Q210JKRExpHeap9CMemBlockFPv,JKRExpHeap.o,JKernel.a,false
state_register__10JKRExpHeapCFPQ27JKRHeap6TStateUl,JKRExpHeap.o,JKernel.a,false
state_compare__10JKRExpHeapCFRCQ27JKRHeap6TStateRCQ27JKRHeap6TState,JKRExpHeap.o,JKernel.a,false
do_getCurrentGroupId__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
getHeapType__10JKRExpHeapFv,JKRExpHeap.o,JKernel.a,false
create__12JKRSolidHeapFUlP7JKRHeapb,JKRSolidHeap.o,JKernel.a,false
do_destroy__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
__ct__12JKRSolidHeapFPvUlP7JKRHeapb,JKRSolidHeap.o,JKernel.a,false
__dt__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
do_alloc__12JKRSolidHeapFUli,JKRSolidHeap.o,JKernel.a,false
allocFromHead__12JKRSolidHeapFUli,JKRSolidHeap.o,JKernel.a,false
allocFromTail__12JKRSolidHeapFUli,JKRSolidHeap.o,JKernel.a,false
do_freeAll__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
do_freeTail__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
do_fillFreeArea__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
do_resize__12JKRSolidHeapFPvUl,JKRSolidHeap.o,JKernel.a,false
do_getSize__12JKRSolidHeapFPv,JKRSolidHeap.o,JKernel.a,false
check__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
dump__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
state_register__12JKRSolidHeapCFPQ27JKRHeap6TStateUl,JKRSolidHeap.o,JKernel.a,false
state_compare__12JKRSolidHeapCFRCQ27JKRHeap6TStateRCQ27JKRHeap6TState,JKRSolidHeap.o,JKernel.a,false
do_getTotalFreeSize__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
do_getMaxFreeBlock__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
do_getFreeSize__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
getHeapType__12JKRSolidHeapFv,JKRSolidHeap.o,JKernel.a,false
create__11JKRUnitHeapFUlUlUlP7JKRHeapb,JKRUnitHeap.o,JKernel.a,false
do_destroy__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
__ct__11JKRUnitHeapFPUcPUcUlUlUlUlP7JKRHeapb,JKRUnitHeap.o,JKernel.a,false
__dt__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
clearBatArea__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
find1FreeBlock__11JKRUnitHeapFi,JKRUnitHeap.o,JKernel.a,false
findFreeBlock__11JKRUnitHeapFiUl,JKRUnitHeap.o,JKernel.a,false
findFreeBlock_fromHead__11JKRUnitHeapFUl,JKRUnitHeap.o,JKernel.a,false
findFreeBlock_fromTail__11JKRUnitHeapFUl,JKRUnitHeap.o,JKernel.a,false
do_freeAll__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
do_freeTail__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
do_fillFreeArea__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
do_resize__11JKRUnitHeapFPvUl,JKRUnitHeap.o,JKernel.a,false
do_getSize__11JKRUnitHeapFPv,JKRUnitHeap.o,JKernel.a,false
do_getFreeSize__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
do_getMaxFreeBlock__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
do_getTotalFreeSize__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
indexToAddress__11JKRUnitHeapFi,JKRUnitHeap.o,JKernel.a,false
addressToIndex__11JKRUnitHeapFPv,JKRUnitHeap.o,JKernel.a,false
isUnitUsed__11JKRUnitHeapCFi,JKRUnitHeap.o,JKernel.a,false
setUnitUsed__11JKRUnitHeapFi,JKRUnitHeap.o,JKernel.a,false
check__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
dump__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
state_register__11JKRUnitHeapCFPQ27JKRHeap6TStateUl,JKRUnitHeap.o,JKernel.a,false
state_compare__11JKRUnitHeapCFRCQ27JKRHeap6TStateRCQ27JKRHeap6TState,JKRUnitHeap.o,JKernel.a,false
getHeapType__11JKRUnitHeapFv,JKRUnitHeap.o,JKernel.a,false
__ct__11JKRDisposerFv,JKRDisposer.o,JKernel.a,true
__dt__22JSULink<11JKRDisposer>Fv,JKRDisposer.o,JKernel.a,true
__dt__11JKRDisposerFv,JKRDisposer.o,JKernel.a,true
__ct__9JKRThreadFUlii,JKRThread.o,JKernel.a,false
__ct__9JKRThreadFP7JKRHeapUlii,JKRThread.o,JKernel.a,false
__dt__9JKRThreadFv,JKRThread.o,JKernel.a,true
setCommon_mesgQueue__9JKRThreadFP7JKRHeapi,JKRThread.o,JKernel.a,true
setCommon_heapSpecified__9JKRThreadFP7JKRHeapUli,JKRThread.o,JKernel.a,false
start__9JKRThreadFPv,JKRThread.o,JKernel.a,true
searchThread__9JKRThreadFP8OSThread,JKRThread.o,JKernel.a,true
enter__15JKRThreadSwitchFP9JKRThreadi,JKRThread.o,JKernel.a,false
__as__Q28JUtility6TColorFRCQ28JUtility6TColor,JKRThread.o,JKernel.a,false
__sinit_\JKRThread_cpp,JKRThread.o,JKernel.a,false
__ct__Q29JKRThread5TLoadFv,JKRThread.o,JKernel.a,false
clear__Q29JKRThread5TLoadFv,JKRThread.o,JKernel.a,false
__dt__19JSULink<9JKRThread>Fv,JKRThread.o,JKernel.a,false
run__9JKRThreadFv,JKRThread.o,JKernel.a,false
__ct__Q28JUtility6TColorFUcUcUcUc,JKRThread.o,JKernel.a,false
__ct__19JSUList<9JKRThread>Fb,JKRThread.o,JKernel.a,false
__dt__19JSUList<9JKRThread>Fv,JKRThread.o,JKernel.a,false
__ct__17JSUList<7JKRTask>Fv,JKRThread.o,JKernel.a,false
__dt__17JSUList<7JKRTask>Fv,JKRThread.o,JKernel.a,false
create__7JKRAramFUlUllll,JKRAram.o,JKernel.a,false
__dt__7JKRAramFv,JKRAram.o,JKernel.a,false
run__7JKRAramFv,JKRAram.o,JKernel.a,false
checkOkAddress__7JKRAramFPUcUlP12JKRAramBlockUl,JKRAram.o,JKernel.a,false
changeGroupIdIfNeed__7JKRAramFPUci,JKRAram.o,JKernel.a,false
mainRamToAram__7JKRAramFPUcUlUl15JKRExpandSwitchUlP7JKRHeapiPUl,JKRAram.o,JKernel.a,false
aramToMainRam__7JKRAramFUlPUcUl15JKRExpandSwitchUlP7JKRHeapiPUl,JKRAram.o,JKernel.a,false
JKRDecompressFromAramToMainRam__FUlPvUlUlUlPUl,JKRAram.o,JKernel.a,false
__sinit_\JKRAram_cpp,JKRAram.o,JKernel.a,false
JKRCheckCompressed_noASR__FPUc,JKRAram.o,JKernel.a,false
JKRDecompExpandSize__FPUc,JKRAram.o,JKernel.a,false
decideAramGroupId__7JKRAramFi,JKRAram.o,JKernel.a,false
__ct__23JSUList<12JKRAMCommand>Fv,JKRAram.o,JKernel.a,false
__dt__23JSUList<12JKRAMCommand>Fv,JKRAram.o,JKernel.a,false
__ct__11JKRAramHeapFUlUl,JKRAramHeap.o,JKernel.a,false
__dt__11JKRAramHeapFv,JKRAramHeap.o,JKernel.a,false
