Symbol Name, Object File, Library Archive, Matching
JMAEulerToQuat__FsssP10Quaternion,JMath.o,JMath.a,false
JMAQuatLerp__FPC10QuaternionPC10QuaternionfP10Quaternion,JMath.o,JMath.a,false
JMAVECScaleAdd__FPC3VecPC3VecP3Vecf,JMath.o,JMath.a,false
JMAVECLerp__FPC3VecPC3VecP3Vecf,JMath.o,JMath.a,false
JMAMTXApplyScale__FPA4_CfPA4_ffff,JMath.o,JMath.a,false
__ct__Q25JMath13TRandom_fast_FUl,random.o,JMath.a,true
atan2___Q25JMath18TAtanTable<1024,f>CFff,JMATrigonometric.o,JMath.a,false
__sinit_\JMATrigonometric_cpp,JMATrigonometric.o,JMath.a,false
get___Q25JMath18TAtanTable<1024,f>CFff,JMATrigonometric.o,JMath.a,false
__ct__Q25JMath18TSinCosTable<14,f>Fv,JMATrigonometric.o,JMath.a,false
__ct__Q25JMath18TAtanTable<1024,f>Fv,JMATrigonometric.o,JMath.a,false
__ct__Q25JMath22TAsinAcosTable<1024,f>Fv,JMATrigonometric.o,JMath.a,false
