Symbol Name, Object File, Library Archive, Matching
__ct__10JUTTextureFii9_GXTexFmt,JUTTexture.o,JUtility.a,true
__dt__10JUTTextureFv,JUTTexture.o,JUtility.a,true
storeTIMG__10JUTTextureFPC7ResTIMGUc,JUTTexture.o,JUtility.a,false
storeTIMG__10JUTTextureFPC7ResTIMGP10JUTPalette,JUTTexture.o,JUtility.a,true
storeTIMG__10JUTTextureFPC7ResTIMGP10JUTPalette7_GXTlut,JUTTexture.o,JUtility.a,false
attachPalette__10JUTTextureFP10JUTPalette,JUTTexture.o,JUtility.a,false
init__10JUTTextureFv,JUTTexture.o,JUtility.a,true
initTexObj__10JUTTextureFv,JUTTexture.o,JUtility.a,false
initTexObj__10JUTTextureF7_GXTlut,JUTTexture.o,JUtility.a,false
load__10JUTTextureF11_GXTexMapID,JUTTexture.o,JUtility.a,true
capture__10JUTTextureFii9_GXTexFmtbUc,JUTTexture.o,JUtility.a,true
setEmbPaletteDelFlag__10JUTTextureFb,JUTTexture.o,JUtility.a,true
storeTLUT__10JUTPaletteF7_GXTlutP7ResTLUT,JUTPalette.o,JUtility.a,false
storeTLUT__10JUTPaletteF7_GXTlut10_GXTlutFmt15JUTTransparencyUsPv,JUTPalette.o,JUtility.a,false
load__10JUTPaletteFv,JUTPalette.o,JUtility.a,false
__ct__10JUTNameTabFv,JUTNameTab.o,JUtility.a,false
__ct__10JUTNameTabFPC7ResNTAB,JUTNameTab.o,JUtility.a,false
setResource__10JUTNameTabFPC7ResNTAB,JUTNameTab.o,JUtility.a,false
getIndex__10JUTNameTabCFPCc,JUTNameTab.o,JUtility.a,false
getName__10JUTNameTabCFUs,JUTNameTab.o,JUtility.a,false
calcKeyCode__10JUTNameTabCFPCc,JUTNameTab.o,JUtility.a,false
__dt__10JUTNameTabFv,JUTNameTab.o,JUtility.a,false
setCharColor__7JUTFontFQ28JUtility6TColor,JUTFont.o,JUtility.a,false
drawString_size_scale__7JUTFontFffffPCcUlb,JUTFont.o,JUtility.a,false
__ct__12JUTExceptionFP14JUTDirectPrint,JUTException.o,JUtility.a,false
create__12JUTExceptionFP14JUTDirectPrint,JUTException.o,JUtility.a,false
run__12JUTExceptionFv,JUTException.o,JUtility.a,false
errorHandler__12JUTExceptionFUsP9OSContextUlUl,JUTException.o,JUtility.a,false
panic_f_va__12JUTExceptionFPCciPCcP16__va_list_struct,JUTException.o,JUtility.a,false
panic_f__12JUTExceptionFPCciPCce,JUTException.o,JUtility.a,false
showFloatSub__12JUTExceptionFif,JUTException.o,JUtility.a,false
showFloat__12JUTExceptionFP9OSContext,JUTException.o,JUtility.a,false
searchPartialModule__12JUTExceptionFUlPUlPUlPUlPUl,JUTException.o,JUtility.a,false
showStack__12JUTExceptionFP9OSContext,JUTException.o,JUtility.a,false
showMainInfo__12JUTExceptionFUsP9OSContextUlUl,JUTException.o,JUtility.a,false
showGPR__12JUTExceptionFP9OSContext,JUTException.o,JUtility.a,false
showMapInfo_subroutine__12JUTExceptionFUlb,JUTException.o,JUtility.a,false
showGPRMap__12JUTExceptionFP9OSContext,JUTException.o,JUtility.a,false
showSRR0Map__12JUTExceptionFP9OSContext,JUTException.o,JUtility.a,false
printDebugInfo__12JUTExceptionFQ212JUTException9EInfoPageUsP9OSContextUlUl,JUTException.o,JUtility.a,false
isEnablePad__12JUTExceptionCFv,JUTException.o,JUtility.a,false
printContext__12JUTExceptionFUsP9OSContextUlUl,JUTException.o,JUtility.a,false
waitTime__12JUTExceptionFl,JUTException.o,JUtility.a,false
createFB__12JUTExceptionFv,JUTException.o,JUtility.a,false
setPreUserCallback__12JUTExceptionFPFUsP9OSContextUlUl_v,JUTException.o,JUtility.a,false
queryMapAddress__12JUTExceptionFPcUllPUlPUlPcUlbb,JUTException.o,JUtility.a,false
createConsole__12JUTExceptionFPvUl,JUTException.o,JUtility.a,false
