Symbol Name, Object File, Library Archive, Matching
Block_link,alloc.o,MSL_C.PPCEABI.bare.H.a,false
SubBlock_merge_next,alloc.o,MSL_C.PPCEABI.bare.H.a,false
deallocate_from_fixed_pools,alloc.o,MSL_C.PPCEABI.bare.H.a,false
free,alloc.o,MSL_C.PPCEABI.bare.H.a,false
__close_all,ansi_files.o,MSL_C.PPCEABI.bare.H.a,false
__flush_all,ansi_files.o,MSL_C.PPCEABI.bare.H.a,false
__ull2dec,ansi_fp.o,MSL_C.PPCEABI.bare.H.a,false
__timesdec,ansi_fp.o,MSL_C.PPCEABI.bare.H.a,false
__str2dec,ansi_fp.o,MSL_C.PPCEABI.bare.H.a,false
__two_exp,ansi_fp.o,MSL_C.PPCEABI.bare.H.a,false
__equals_dec,ansi_fp.o,MSL_C.PPCEABI.bare.H.a,false
__less_dec,ansi_fp.o,MSL_C.PPCEABI.bare.H.a,false
__minus_dec,ansi_fp.o,MSL_C.PPCEABI.bare.H.a,false
__num2dec_internal,ansi_fp.o,MSL_C.PPCEABI.bare.H.a,false
__num2dec,ansi_fp.o,MSL_C.PPCEABI.bare.H.a,false
__dec2num,ansi_fp.o,MSL_C.PPCEABI.bare.H.a,false
abs,arith.o,MSL_C.PPCEABI.bare.H.a,false
__prep_buffer,buffer_io.o,MSL_C.PPCEABI.bare.H.a,false
__flush_buffer,buffer_io.o,MSL_C.PPCEABI.bare.H.a,false
tolower,ctype.o,MSL_C.PPCEABI.bare.H.a,false
__fwrite,direct_io.o,MSL_C.PPCEABI.bare.H.a,false
fclose,file_io.o,MSL_C.PPCEABI.bare.H.a,false
fflush,file_io.o,MSL_C.PPCEABI.bare.H.a,false
__msl_strnicmp,file_io.o,MSL_C.PPCEABI.bare.H.a,false
_ftell,FILE_POS.o,MSL_C.PPCEABI.bare.H.a,false
ftell,FILE_POS.o,MSL_C.PPCEABI.bare.H.a,false
_fseek,FILE_POS.o,MSL_C.PPCEABI.bare.H.a,false
mbtowc,mbstring.o,MSL_C.PPCEABI.bare.H.a,false
__mbtowc_noconv,mbstring.o,MSL_C.PPCEABI.bare.H.a,false
__wctomb_noconv,mbstring.o,MSL_C.PPCEABI.bare.H.a,false
mbstowcs,mbstring.o,MSL_C.PPCEABI.bare.H.a,false
wcstombs,mbstring.o,MSL_C.PPCEABI.bare.H.a,false
memmove,mem.o,MSL_C.PPCEABI.bare.H.a,false
memchr,mem.o,MSL_C.PPCEABI.bare.H.a,false
__memrchr,mem.o,MSL_C.PPCEABI.bare.H.a,false
memcmp,mem.o,MSL_C.PPCEABI.bare.H.a,false
__copy_longs_aligned,mem_funcs.o,MSL_C.PPCEABI.bare.H.a,false
__copy_longs_rev_aligned,mem_funcs.o,MSL_C.PPCEABI.bare.H.a,false
__copy_longs_unaligned,mem_funcs.o,MSL_C.PPCEABI.bare.H.a,false
__copy_longs_rev_unaligned,mem_funcs.o,MSL_C.PPCEABI.bare.H.a,false
__fpclassifyf,math_api.o,MSL_C.PPCEABI.bare.H.a,false
__signbitd,math_api.o,MSL_C.PPCEABI.bare.H.a,false
__fpclassifyd,math_api.o,MSL_C.PPCEABI.bare.H.a,false
__stdio_atexit,misc_io.o,MSL_C.PPCEABI.bare.H.a,false
parse_format,printf.o,MSL_C.PPCEABI.bare.H.a,false
long2str,printf.o,MSL_C.PPCEABI.bare.H.a,false
longlong2str,printf.o,MSL_C.PPCEABI.bare.H.a,false
double2hex,printf.o,MSL_C.PPCEABI.bare.H.a,false
round_decimal,printf.o,MSL_C.PPCEABI.bare.H.a,false
float2str,printf.o,MSL_C.PPCEABI.bare.H.a,false
__pformatter,printf.o,MSL_C.PPCEABI.bare.H.a,false
__FileWrite,printf.o,MSL_C.PPCEABI.bare.H.a,false
__StringWrite,printf.o,MSL_C.PPCEABI.bare.H.a,false
fprintf,printf.o,MSL_C.PPCEABI.bare.H.a,false
vprintf,printf.o,MSL_C.PPCEABI.bare.H.a,false
vsnprintf,printf.o,MSL_C.PPCEABI.bare.H.a,false
vsprintf,printf.o,MSL_C.PPCEABI.bare.H.a,false
snprintf,printf.o,MSL_C.PPCEABI.bare.H.a,false
sprintf,printf.o,MSL_C.PPCEABI.bare.H.a,false
parse_format,scanf.o,MSL_C.PPCEABI.bare.H.a,false
__sformatter,scanf.o,MSL_C.PPCEABI.bare.H.a,false
__StringRead,scanf.o,MSL_C.PPCEABI.bare.H.a,false
sscanf,scanf.o,MSL_C.PPCEABI.bare.H.a,false
raise,signal.o,MSL_C.PPCEABI.bare.H.a,false
strcpy,string.o,MSL_C.PPCEABI.bare.H.a,true
strncpy,string.o,MSL_C.PPCEABI.bare.H.a,true
strcat,string.o,MSL_C.PPCEABI.bare.H.a,true
strcmp,string.o,MSL_C.PPCEABI.bare.H.a,true
strncmp,string.o,MSL_C.PPCEABI.bare.H.a,false
strchr,string.o,MSL_C.PPCEABI.bare.H.a,true
strrchr,string.o,MSL_C.PPCEABI.bare.H.a,true
strstr,string.o,MSL_C.PPCEABI.bare.H.a,true
__strtold,strtold.o,MSL_C.PPCEABI.bare.H.a,false
__strtoul,strtoul.o,MSL_C.PPCEABI.bare.H.a,false
__strtoull,strtoul.o,MSL_C.PPCEABI.bare.H.a,false
strtoul,strtoul.o,MSL_C.PPCEABI.bare.H.a,false
atoi,strtoul.o,MSL_C.PPCEABI.bare.H.a,false
wmemcpy,wmem.o,MSL_C.PPCEABI.bare.H.a,false
wmemchr,wmem.o,MSL_C.PPCEABI.bare.H.a,false
parse_format,wprintf.o,MSL_C.PPCEABI.bare.H.a,false
long2str,wprintf.o,MSL_C.PPCEABI.bare.H.a,false
longlong2str,wprintf.o,MSL_C.PPCEABI.bare.H.a,false
double2hex,wprintf.o,MSL_C.PPCEABI.bare.H.a,false
round_decimal,wprintf.o,MSL_C.PPCEABI.bare.H.a,false
float2str,wprintf.o,MSL_C.PPCEABI.bare.H.a,false
__wpformatter,wprintf.o,MSL_C.PPCEABI.bare.H.a,false
__wStringWrite,wprintf.o,MSL_C.PPCEABI.bare.H.a,false
swprintf,wprintf.o,MSL_C.PPCEABI.bare.H.a,false
vswprintf,wprintf.o,MSL_C.PPCEABI.bare.H.a,false
wcslen,wstring.o,MSL_C.PPCEABI.bare.H.a,false
wcscpy,wstring.o,MSL_C.PPCEABI.bare.H.a,false
wcsncpy,wstring.o,MSL_C.PPCEABI.bare.H.a,false
wcscmp,wstring.o,MSL_C.PPCEABI.bare.H.a,false
wcschr,wstring.o,MSL_C.PPCEABI.bare.H.a,false
fwide,wchar_io.o,MSL_C.PPCEABI.bare.H.a,false
__write_console,uart_console_io_gcn.o,MSL_C.PPCEABI.bare.H.a,false
__close_console,uart_console_io_gcn.o,MSL_C.PPCEABI.bare.H.a,false
abort,abort_exit_ppc_eabi.o,MSL_C.PPCEABI.bare.H.a,false
scalbn,math_sun.o,MSL_C.PPCEABI.bare.H.a,false
stricmp,extras.o,MSL_C.PPCEABI.bare.H.a,false
strncasecmp,extras.o,MSL_C.PPCEABI.bare.H.a,false
strcasecmp,extras.o,MSL_C.PPCEABI.bare.H.a,false
__ieee754_acos,D:\layout\RVL_1.0\Layout\PowerPC_EABI_Support\MSL\MSL_C\MSL_Common_Embedded\Math\Double_precision\e_acos.o,MSL_C.PPCEABI.bare.H.a,false
__ieee754_asin,D:\layout\RVL_1.0\Layout\PowerPC_EABI_Support\MSL\MSL_C\MSL_Common_Embedded\Math\Double_precision\e_asin.o,MSL_C.PPCEABI.bare.H.a,false
__ieee754_atan2,D:\layout\RVL_1.0\Layout\PowerPC_EABI_Support\MSL\MSL_C\MSL_Common_Embedded\Math\Double_precision\e_atan2.o,MSL_C.PPCEABI.bare.H.a,false
__ieee754_fmod,D:\layout\RVL_1.0\Layout\PowerPC_EABI_Support\MSL\MSL_C\MSL_Common_Embedded\Math\Double_precision\e_fmod.o,MSL_C.PPCEABI.bare.H.a,false
__ieee754_log,D:\layout\RVL_1.0\Layout\PowerPC_EABI_Support\MSL\MSL_C\MSL_Common_Embedded\Math\Double_precision\e_log.o,MSL_C.PPCEABI.bare.H.a,false
__ieee754_log10,D:\layout\RVL_1.0\Layout\PowerPC_EABI_Support\MSL\MSL_C\MSL_Common_Embedded\Math\Double_precision\e_log10.o,MSL_C.PPCEABI.bare.H.a,false
__ieee754_pow,D:\layout\RVL_1.0\Layout\PowerPC_EABI_Support\MSL\MSL_C\MSL_Common_Embedded\Math\Double_precision\e_pow.o,MSL_C.PPCEABI.bare.H.a,false
__ieee754_rem_pio2,D:\layout\RVL_1.0\Layout\PowerPC_EABI_Support\MSL\MSL_C\MSL_Common_Embedded\Math\Double_precision\e_rem_pio2.o,MSL_C.PPCEABI.bare.H.a,false
