Symbol Name, Object File, Library Archive, Matching
RFLGetWorkSize,RFL_System.o,RVLFaceLib.a,true
RFLInitResAsync,RFL_System.o,RVLFaceLib.a,true
RFLExit,RFL_System.o,RVLFaceLib.a,true
bootloadDB2Res_,RFL_System.o,RVLFaceLib.a,true
RFLAvailable,RFL_System.o,RVLFaceLib.a,true
RFLiAlloc32,RFL_System.o,RVLFaceLib.a,true
RFLiFree,RFL_System.o,RVLFaceLib.a,true
RFLiGetDBManager,RFL_System.o,RVLFaceLib.a,true
RFLiGetHDBManager,RFL_System.o,RVLFaceLib.a,true
RFLiGetLoader,RFL_System.o,RVLFaceLib.a,true
RFLiGetWorking,RFL_System.o,RVLFaceLib.a,true
RFLiSetWorking,RFL_System.o,RVLFaceLib.a,true
RFLiGetManager,RFL_System.o,RVLFaceLib.a,true
RFLGetAsyncStatus,RFL_System.o,RVLFaceLib.a,true
RFLGetLastReason,RFL_System.o,RVLFaceLib.a,true
RFLiGetAccInfo,RFL_System.o,RVLFaceLib.a,true
RFLiGetCtrlBufManager,RFL_System.o,RVLFaceLib.a,true
RFLiGetUseDeluxTex,RFL_System.o,RVLFaceLib.a,true
RFLiGetLastReason,RFL_System.o,RVLFaceLib.a,true
RFLiSetFileBroken,RFL_System.o,RVLFaceLib.a,true
RFLiNotFoundError,RFL_System.o,RVLFaceLib.a,true
RFLiNeedRepairError,RFL_System.o,RVLFaceLib.a,true
RFLiInitLoader,RFL_NANDLoader.o,RVLFaceLib.a,true
parseOnmemoryRes_,RFL_NANDLoader.o,RVLFaceLib.a,true
loadResRead2ndcallback_,RFL_NANDLoader.o,RVLFaceLib.a,true
errclosecallback_,RFL_NANDLoader.o,RVLFaceLib.a,true
loadResRead1stcallback_,RFL_NANDLoader.o,RVLFaceLib.a,true
loadResGetlengthcallback_,RFL_NANDLoader.o,RVLFaceLib.a,true
loadResOpencallback_,RFL_NANDLoader.o,RVLFaceLib.a,true
RFLiLoadResourceHeaderAsync,RFL_NANDLoader.o,RVLFaceLib.a,true
getNANDFile_,RFL_NANDLoader.o,RVLFaceLib.a,true
RFLiGetTexSize,RFL_NANDLoader.o,RVLFaceLib.a,true
RFLiLoadTexture,RFL_NANDLoader.o,RVLFaceLib.a,true
RFLiGetShpTexSize,RFL_NANDLoader.o,RVLFaceLib.a,true
RFLiLoadShpTexture,RFL_NANDLoader.o,RVLFaceLib.a,true
RFLiGetShapeSize,RFL_NANDLoader.o,RVLFaceLib.a,true
RFLiLoadShape,RFL_NANDLoader.o,RVLFaceLib.a,true
RFLFreeCachedResource,RFL_NANDLoader.o,RVLFaceLib.a,true
RFLIsResourceCached,RFL_NANDLoader.o,RVLFaceLib.a,true
RFLiInitAccessInfo,RFL_NANDAccess.o,RVLFaceLib.a,true
RFLiExitAccessInfo,RFL_NANDAccess.o,RVLFaceLib.a,true
RFLiIsWorking,RFL_NANDAccess.o,RVLFaceLib.a,true
RFLiStartWorking,RFL_NANDAccess.o,RVLFaceLib.a,true
RFLiEndWorking,RFL_NANDAccess.o,RVLFaceLib.a,true
opencallback_,RFL_NANDAccess.o,RVLFaceLib.a,true
createcallback_,RFL_NANDAccess.o,RVLFaceLib.a,true
close2opencallback_,RFL_NANDAccess.o,RVLFaceLib.a,true
RFLiOpenAsync,RFL_NANDAccess.o,RVLFaceLib.a,true
readcallback_,RFL_NANDAccess.o,RVLFaceLib.a,true
readseekcallback_,RFL_NANDAccess.o,RVLFaceLib.a,true
RFLiReadAsync,RFL_NANDAccess.o,RVLFaceLib.a,true
closecallback_,RFL_NANDAccess.o,RVLFaceLib.a,true
RFLiCloseAsync,RFL_NANDAccess.o,RVLFaceLib.a,true
getlengthcallback_,RFL_NANDAccess.o,RVLFaceLib.a,true
RFLiGetLengthAsync,RFL_NANDAccess.o,RVLFaceLib.a,true
RFLGetModelBufferSize,RFL_Model.o,RVLFaceLib.a,true
RFLInitCharModel,RFL_Model.o,RVLFaceLib.a,true
