Symbol Name, Object File, Library Archive, Matching
PPCMfmsr,PPCArch.o,base.a,false
PPCMtmsr,PPCArch.o,base.a,false
PPCMfhid0,PPCArch.o,base.a,false
PPCMthid0,PPCArch.o,base.a,false
PPCMfl2cr,PPCArch.o,base.a,false
PPCMtl2cr,PPCArch.o,base.a,false
PPCMtdec,PPCArch.o,base.a,false
PPCSync,PPCArch.o,base.a,false
PPCHalt,PPCArch.o,base.a,false
PPCMtmmcr0,PPCArch.o,base.a,false
PPCMtmmcr1,PPCArch.o,base.a,false
PPCMtpmc1,PPCArch.o,base.a,false
PPCMtpmc2,PPCArch.o,base.a,false
PPCMtpmc3,PPCArch.o,base.a,false
PPCMtpmc4,PPCArch.o,base.a,false
PPCMffpscr,PPCArch.o,base.a,false
PPCMtfpscr,PPCArch.o,base.a,false
PPCMfhid2,PPCArch.o,base.a,true
PPCMthid2,PPCArch.o,base.a,true
PPCMfwpar,PPCArch.o,base.a,true
PPCMtwpar,PPCArch.o,base.a,true
PPCDisableSpeculation,PPCArch.o,base.a,true
PPCSetFpNonIEEEMode,PPCArch.o,base.a,true
PPCMthid4,PPCArch.o,base.a,true
