Symbol Name, Object File, Library Archive, Matching
gki_init_free_queue,gki_buffer.o,bte.a,false
gki_buffer_init,gki_buffer.o,bte.a,false
GKI_init_q,gki_buffer.o,bte.a,false
GKI_getbuf,gki_buffer.o,bte.a,false
GKI_getpoolbuf,gki_buffer.o,bte.a,false
GKI_freebuf,gki_buffer.o,bte.a,false
GKI_get_buf_size,gki_buffer.o,bte.a,false
GKI_send_msg,gki_buffer.o,bte.a,false
GKI_read_mbox,gki_buffer.o,bte.a,false
GKI_enqueue,gki_buffer.o,bte.a,false
GKI_enqueue_head,gki_buffer.o,bte.a,false
GKI_dequeue,gki_buffer.o,bte.a,false
GKI_remove_from_queue,gki_buffer.o,bte.a,false
GKI_getfirst,gki_buffer.o,bte.a,false
GKI_getnext,gki_buffer.o,bte.a,false
GKI_queue_is_empty,gki_buffer.o,bte.a,false
GKI_create_pool,gki_buffer.o,bte.a,false
GKI_delete_pool,gki_buffer.o,bte.a,false
gki_timers_init,gki_time.o,bte.a,false
GKI_get_tick_count,gki_time.o,bte.a,false
GKI_start_timer,gki_time.o,bte.a,false
GKI_stop_timer,gki_time.o,bte.a,false
GKI_init_timer_list,gki_time.o,bte.a,false
GKI_update_timer_list,gki_time.o,bte.a,false
GKI_add_to_timer_list,gki_time.o,bte.a,false
GKI_remove_from_timer_list,gki_time.o,bte.a,false
GKI_init,gki_ppc.o,bte.a,false
GKI_shutdown,gki_ppc.o,bte.a,false
GKI_run,gki_ppc.o,bte.a,false
GKI_sched_lock,gki_ppc.o,bte.a,false
GKI_sched_unlock,gki_ppc.o,bte.a,false
GKI_delay,gki_ppc.o,bte.a,false
GKI_send_event,gki_ppc.o,bte.a,false
GKI_get_taskid,gki_ppc.o,bte.a,false
GKI_enable,gki_ppc.o,bte.a,false
GKI_disable,gki_ppc.o,bte.a,false
GKI_exception,gki_ppc.o,bte.a,false
GKI_os_malloc,gki_ppc.o,bte.a,false
GKI_os_free,gki_ppc.o,bte.a,false
hcisu_h2_usb_cback,hcisu_h2.o,bte.a,false
hcisu_h2_receive_msg,hcisu_h2.o,bte.a,false
hcisu_h2_send_msg_now,hcisu_h2.o,bte.a,false
hcisu_h2_init,hcisu_h2.o,bte.a,false
hcisu_h2_open,hcisu_h2.o,bte.a,false
hcisu_h2_close,hcisu_h2.o,bte.a,false
hcisu_h2_send,hcisu_h2.o,bte.a,false
hcisu_h2_handle_event,hcisu_h2.o,bte.a,false
__ntd_get_allocated_mem_size,uusb_ppc.o,bte.a,false
uusb_CloseDeviceCB,uusb_ppc.o,bte.a,false
uusb_ReadIntrDataCB,uusb_ppc.o,bte.a,false
uusb_ReadBulkDataCB,uusb_ppc.o,bte.a,false
uusb_issue_intr_read,uusb_ppc.o,bte.a,false
uusb_WriteCtrlDataCB,uusb_ppc.o,bte.a,false
uusb_WriteBulkDataCB,uusb_ppc.o,bte.a,false
UUSB_Register,uusb_ppc.o,bte.a,false
UUSB_Open,uusb_ppc.o,bte.a,false
UUSB_Read,uusb_ppc.o,bte.a,false
UUSB_Write,uusb_ppc.o,bte.a,false
UUSB_Close,uusb_ppc.o,bte.a,false
UUSB_Unregister,uusb_ppc.o,bte.a,false
bte_hcisu_send,bte_hcisu.o,bte.a,false
bte_hcisu_task,bte_hcisu.o,bte.a,false
bte_hcisu_close,bte_hcisu.o,bte.a,false
bta_ci_hci_msg_handler,bte_hcisu.o,bte.a,false
BTE_InitStack,bte_init.o,bte.a,false
LogMsg,bte_logmsg.o,bte.a,false
LogMsg_0,bte_logmsg.o,bte.a,false
LogMsg_1,bte_logmsg.o,bte.a,false
LogMsg_2,bte_logmsg.o,bte.a,false
LogMsg_3,bte_logmsg.o,bte.a,false
LogMsg_4,bte_logmsg.o,bte.a,false
LogMsg_5,bte_logmsg.o,bte.a,false
LogMsg_6,bte_logmsg.o,bte.a,false
BTUInterruptHandler,bte_main.o,bte.a,false
BTA_Init,bte_main.o,bte.a,false
BTA_CleanUp,bte_main.o,bte.a,false
bta_usb_close_evt,bte_main.o,bte.a,false
btu_task_init,btu_task1.o,bte.a,false
btu_task_msg_handler,btu_task1.o,bte.a,false
btu_start_timer,btu_task1.o,bte.a,false
btu_stop_timer,btu_task1.o,bte.a,false
bdcpy,bd.o,bte.a,false
bdcmp,bd.o,bte.a,false
bta_sys_rm_register,bta_sys_conn.o,bte.a,false
bta_sys_compress_register,bta_sys_conn.o,bte.a,false
bta_sys_pm_register,bta_sys_conn.o,bte.a,false
bta_sys_conn_open,bta_sys_conn.o,bte.a,false
bta_sys_conn_close,bta_sys_conn.o,bte.a,false
bta_sys_sco_close,bta_sys_conn.o,bte.a,false
bta_sys_idle,bta_sys_conn.o,bte.a,false
bta_sys_busy,bta_sys_conn.o,bte.a,false
bta_sys_init,bta_sys_main.o,bte.a,false
bta_sys_event,bta_sys_main.o,bte.a,false
bta_sys_timer_update,bta_sys_main.o,bte.a,false
bta_sys_register,bta_sys_main.o,bte.a,false
bta_sys_sendmsg,bta_sys_main.o,bte.a,false
bta_sys_start_timer,bta_sys_main.o,bte.a,false
bta_sys_stop_timer,bta_sys_main.o,bte.a,false
bta_sys_disable,bta_sys_main.o,bte.a,false
bta_sys_set_trace_level,bta_sys_main.o,bte.a,false
ptim_init,ptim.o,bte.a,false
ptim_timer_update,ptim.o,bte.a,false
ptim_start_timer,ptim.o,bte.a,false
ptim_stop_timer,ptim.o,bte.a,false
utl_freebuf,utl.o,bte.a,false
bta_dm_enable,bta_dm_act.o,bte.a,false
bta_dm_disable,bta_dm_act.o,bte.a,false
bta_dm_disable_timer_cback,bta_dm_act.o,bte.a,false
bta_dm_set_dev_name,bta_dm_act.o,bte.a,false
bta_dm_set_visibility,bta_dm_act.o,bte.a,false
bta_dm_bond,bta_dm_act.o,bte.a,false
bta_dm_pin_reply,bta_dm_act.o,bte.a,false
bta_dm_auth_reply,bta_dm_act.o,bte.a,false
bta_dm_search_start,bta_dm_act.o,bte.a,false
bta_dm_search_cancel,bta_dm_act.o,bte.a,false
bta_dm_discover,bta_dm_act.o,bte.a,false
bta_dm_inq_cmpl,bta_dm_act.o,bte.a,false
bta_dm_rmt_name,bta_dm_act.o,bte.a,false
bta_dm_disc_rmt_name,bta_dm_act.o,bte.a,false
bta_dm_sdp_result,bta_dm_act.o,bte.a,false
bta_dm_search_cmpl,bta_dm_act.o,bte.a,false
bta_dm_disc_result,bta_dm_act.o,bte.a,false
bta_dm_search_result,bta_dm_act.o,bte.a,false
bta_dm_search_timer_cback,bta_dm_act.o,bte.a,false
bta_dm_free_sdp_db,bta_dm_act.o,bte.a,false
bta_dm_queue_search,bta_dm_act.o,bte.a,false
bta_dm_queue_disc,bta_dm_act.o,bte.a,false
bta_dm_search_clear_queue,bta_dm_act.o,bte.a,false
bta_dm_search_cancel_cmpl,bta_dm_act.o,bte.a,false
bta_dm_search_cancel_transac_cmpl,bta_dm_act.o,bte.a,false
bta_dm_search_cancel_notify,bta_dm_act.o,bte.a,false
bta_dm_find_services,bta_dm_act.o,bte.a,false
bta_dm_discover_next_device,bta_dm_act.o,bte.a,false
bta_dm_sdp_callback,bta_dm_act.o,bte.a,false
bta_dm_inq_results_cb,bta_dm_act.o,bte.a,false
bta_dm_inq_cmpl_cb,bta_dm_act.o,bte.a,false
bta_dm_service_search_remname_cback,bta_dm_act.o,bte.a,false
bta_dm_remname_cback,bta_dm_act.o,bte.a,false
bta_dm_disc_remname_cback,bta_dm_act.o,bte.a,false
bta_dm_cancel_rmt_name,bta_dm_act.o,bte.a,false
bta_dm_authorize_cback,bta_dm_act.o,bte.a,false
bta_dm_pinname_cback,bta_dm_act.o,bte.a,false
bta_dm_pin_cback,bta_dm_act.o,bte.a,false
bta_dm_link_key_request_cback,bta_dm_act.o,bte.a,false
bta_dm_new_link_key_cback,bta_dm_act.o,bte.a,false
bta_dm_authentication_complete_cback,bta_dm_act.o,bte.a,false
bta_dm_local_addr_cback,bta_dm_act.o,bte.a,false
