Symbol Name, Object File, Library Archive, Matching
SetExiInterruptMask,EXIBios.o,exi.a,false
EXIImm,EXIBios.o,exi.a,false
EXIImmEx,EXIBios.o,exi.a,false
EXIDma,EXIBios.o,exi.a,true
EXISync,EXIBios.o,exi.a,false
EXISetExiCallback,EXIBios.o,exi.a,false
__EXIProbe,EXIBios.o,exi.a,false
EXIAttach,EXIBios.o,exi.a,false
EXIDetach,EXIBios.o,exi.a,false
EXISelect,EXIBios.o,exi.a,false
EXIDeselect,EXIBios.o,exi.a,false
EXIIntrruptHandler,EXIBios.o,exi.a,false
TCIntrruptHandler,EXIBios.o,exi.a,false
EXTIntrruptHandler,EXIBios.o,exi.a,false
EXIInit,EXIBios.o,exi.a,false
EXILock,EXIBios.o,exi.a,false
EXIUnlock,EXIBios.o,exi.a,false
UnlockedHandler,EXIBios.o,exi.a,false
EXIGetID,EXIBios.o,exi.a,false
ProbeBarnacle,EXIUart.o,exi.a,false
__OSEnableBarnacle,EXIUart.o,exi.a,false
EXIWriteReg,EXICommon.o,exi.a,false
