Symbol Name, Object File, Library Archive, Matching
ISFS_OpenLib,fs.o,fs.a,true
_isfsFuncCb,fs.o,fs.a,true
ISFS_CreateDir,fs.o,fs.a,true
ISFS_CreateDirAsync,fs.o,fs.a,true
ISFS_ReadDir,fs.o,fs.a,true
ISFS_ReadDirAsync,fs.o,fs.a,true
ISFS_GetAttr,fs.o,fs.a,true
ISFS_GetAttrAsync,fs.o,fs.a,true
ISFS_Delete,fs.o,fs.a,true
ISFS_DeleteAsync,fs.o,fs.a,true
ISFS_Rename,fs.o,fs.a,true
ISFS_RenameAsync,fs.o,fs.a,true
ISFS_GetUsage,fs.o,fs.a,true
ISFS_CreateFile,fs.o,fs.a,true
ISFS_CreateFileAsync,fs.o,fs.a,true
ISFS_Open,fs.o,fs.a,true
ISFS_OpenAsync,fs.o,fs.a,true
ISFS_GetFileStats,fs.o,fs.a,true
ISFS_GetFileStatsAsync,fs.o,fs.a,true
ISFS_Seek,fs.o,fs.a,true
ISFS_SeekAsync,fs.o,fs.a,true
ISFS_Read,fs.o,fs.a,true
ISFS_ReadAsync,fs.o,fs.a,true
ISFS_Write,fs.o,fs.a,true
ISFS_WriteAsync,fs.o,fs.a,true
ISFS_Close,fs.o,fs.a,true
ISFS_CloseAsync,fs.o,fs.a,true
ISFS_ShutdownAsync,fs.o,fs.a,true
