Symbol Name, Object File, Library Archive, Matching
IPCInit,ipcMain.o,ipc.a,false
IPCReInit,ipcMain.o,ipc.a,false
IPCReadReg,ipcMain.o,ipc.a,false
IPCWriteReg,ipcMain.o,ipc.a,false
IPCGetBufferHi,ipcMain.o,ipc.a,false
IPCGetBufferLo,ipcMain.o,ipc.a,false
IPCSetBufferLo,ipcMain.o,ipc.a,false
strnlen,ipcclt.o,ipc.a,false
IpcReplyHandler,ipcclt.o,ipc.a,false
IPCInterruptHandler,ipcclt.o,ipc.a,false
IPCCltInit,ipcclt.o,ipc.a,false
IPCCltReInit,ipcclt.o,ipc.a,false
__ios_Ipc2,ipcclt.o,ipc.a,true
IOS_OpenAsync,ipcclt.o,ipc.a,true
IOS_Open,ipcclt.o,ipc.a,true
IOS_CloseAsync,ipcclt.o,ipc.a,true
IOS_Close,ipcclt.o,ipc.a,true
IOS_ReadAsync,ipcclt.o,ipc.a,true
IOS_Read,ipcclt.o,ipc.a,true
IOS_WriteAsync,ipcclt.o,ipc.a,true
IOS_Write,ipcclt.o,ipc.a,true
IOS_SeekAsync,ipcclt.o,ipc.a,true
IOS_Seek,ipcclt.o,ipc.a,true
IOS_IoctlAsync,ipcclt.o,ipc.a,false
IOS_Ioctl,ipcclt.o,ipc.a,true
__ios_Ioctlv,ipcclt.o,ipc.a,false
IOS_IoctlvAsync,ipcclt.o,ipc.a,false
IOS_Ioctlv,ipcclt.o,ipc.a,false
IOS_IoctlvReboot,ipcclt.o,ipc.a,false
iosCreateHeap,memory.o,ipc.a,true
__iosAlloc,memory.o,ipc.a,true
iosAllocAligned,memory.o,ipc.a,true
iosFree,memory.o,ipc.a,true
IPCiProfInit,ipcProfile.o,ipc.a,true
IPCiProfQueueReq,ipcProfile.o,ipc.a,true
IPCiProfAck,ipcProfile.o,ipc.a,true
IPCiProfReply,ipcProfile.o,ipc.a,true
