Symbol Name, Object File, Library Archive, Matching
FindContainHeap_,mem_heapCommon.o,mem.a,false
MEMiInitHeapHead,mem_heapCommon.o,mem.a,false
MEMiFinalizeHeap,mem_heapCommon.o,mem.a,false
AllocUsedBlockFromFreeBlock_,mem_expHeap.o,mem.a,false
AllocFromHead_,mem_expHeap.o,mem.a,false
AllocFromTail_,mem_expHeap.o,mem.a,false
RecycleRegion_,mem_expHeap.o,mem.a,false
MEMCreateExpHeapEx,mem_expHeap.o,mem.a,false
MEMDestroyExpHeap,mem_expHeap.o,mem.a,false
MEMAllocFromExpHeapEx,mem_expHeap.o,mem.a,false
MEMFreeToExpHeap,mem_expHeap.o,mem.a,false
MEMGetAllocatableSizeForExpHeapEx,mem_expHeap.o,mem.a,false
AllocatorAllocForExpHeap_,mem_allocator.o,mem.a,true
AllocatorFreeForExpHeap_,mem_allocator.o,mem.a,true
MEMAllocFromAllocator,mem_allocator.o,mem.a,true
MEMFreeToAllocator,mem_allocator.o,mem.a,true
MEMInitAllocatorForExpHeap,mem_allocator.o,mem.a,true
MEMInitList,mem_list.o,mem.a,true
MEMAppendListObject,mem_list.o,mem.a,true
MEMRemoveListObject,mem_list.o,mem.a,true
MEMGetNextListObject,mem_list.o,mem.a,true
