Symbol Name, Object File, Library Archive, Matching
PSMTXIdentity,mtx.o,mtx.a,false
PSMTXCopy,mtx.o,mtx.a,false
PSMTXConcat,mtx.o,mtx.a,false
PSMTXInverse,mtx.o,mtx.a,false
PSMTXInvXpose,mtx.o,mtx.a,false
PSMTXRotTrig,mtx.o,mtx.a,false
__PSMTXRotAxisRadInternal,mtx.o,mtx.a,false
PSMTXRotAxisRad,mtx.o,mtx.a,false
PSMTXTrans,mtx.o,mtx.a,false
PSMTXTransApply,mtx.o,mtx.a,false
PSMTXScale,mtx.o,mtx.a,false
PSMTXScaleApply,mtx.o,mtx.a,false
PSMTXQuat,mtx.o,mtx.a,false
C_MTXLookAt,mtx.o,mtx.a,false
C_MTXLightPerspective,mtx.o,mtx.a,false
C_MTXLightOrtho,mtx.o,mtx.a,false
PSMTXMultVec,mtxvec.o,mtx.a,false
PSMTXMultVecSR,mtxvec.o,mtx.a,false
PSMTXMultVecArraySR,mtxvec.o,mtx.a,false
C_MTXPerspective,mtx44.o,mtx.a,false
C_MTXOrtho,mtx44.o,mtx.a,false
PSMTX44Identity,mtx44.o,mtx.a,false
PSMTX44Copy,mtx44.o,mtx.a,false
PSVECAdd,vec.o,mtx.a,false
PSVECSubtract,vec.o,mtx.a,false
PSVECScale,vec.o,mtx.a,false
PSVECNormalize,vec.o,mtx.a,false
C_VECMag,vec.o,mtx.a,false
PSVECMag,vec.o,mtx.a,false
PSVECDotProduct,vec.o,mtx.a,false
PSVECCrossProduct,vec.o,mtx.a,false
PSVECDistance,vec.o,mtx.a,false
PSQUATMultiply,quat.o,mtx.a,false
PSQUATDotProduct,quat.o,mtx.a,false
C_QUATMtx,quat.o,mtx.a,false
C_QUATSlerp,quat.o,mtx.a,false
