Symbol Name, Object File, Library Archive, Matching
__OSFPRInit,OS.o,os.a,false
__OSGetIOSRev,OS.o,os.a,false
OSGetConsoleType,OS.o,os.a,false
ClearArena,OS.o,os.a,false
ClearMEM2Arena,OS.o,os.a,false
InquiryCallback,OS.o,os.a,false
ReportOSInfo,OS.o,os.a,false
OSInit,OS.o,os.a,false
OSExceptionInit,OS.o,os.a,false
__OSDBIntegrator,OS.o,os.a,false
__OSDBJump,OS.o,os.a,false
__OSSetExceptionHandler,OS.o,os.a,true
__OSGetExceptionHandler,OS.o,os.a,true
OSExceptionVector,OS.o,os.a,false
OSDefaultExceptionHandler,OS.o,os.a,false
__OSPSInit,OS.o,os.a,false
__OSGetDIConfig,OS.o,os.a,false
OSRegisterVersion,OS.o,os.a,false
OSGetAppGamename,OS.o,os.a,false
OSGetAppType,OS.o,os.a,false
__OSInitAlarm,OSAlarm.o,os.a,false
OSCreateAlarm,OSAlarm.o,os.a,false
InsertAlarm,OSAlarm.o,os.a,false
OSSetAlarm,OSAlarm.o,os.a,false
OSSetPeriodicAlarm,OSAlarm.o,os.a,false
OSCancelAlarm,OSAlarm.o,os.a,false
DecrementerExceptionCallback,OSAlarm.o,os.a,false
DecrementerExceptionHandler,OSAlarm.o,os.a,false
OSSetAlarmTag,OSAlarm.o,os.a,false
OnReset,OSAlarm.o,os.a,false
OSSetAlarmUserData,OSAlarm.o,os.a,false
OSGetAlarmUserData,OSAlarm.o,os.a,false
DLInsert,OSAlloc.o,os.a,false
OSAllocFromHeap,OSAlloc.o,os.a,false
OSFreeToHeap,OSAlloc.o,os.a,false
OSSetCurrentHeap,OSAlloc.o,os.a,false
OSInitAlloc,OSAlloc.o,os.a,false
OSCreateHeap,OSAlloc.o,os.a,false
OSGetMEM1ArenaHi,OSArena.o,os.a,false
OSGetMEM2ArenaHi,OSArena.o,os.a,false
OSGetArenaHi,OSArena.o,os.a,false
OSGetMEM1ArenaLo,OSArena.o,os.a,false
OSGetMEM2ArenaLo,OSArena.o,os.a,false
OSGetArenaLo,OSArena.o,os.a,false
OSSetMEM1ArenaHi,OSArena.o,os.a,false
OSSetMEM2ArenaHi,OSArena.o,os.a,false
OSSetArenaHi,OSArena.o,os.a,false
OSSetMEM1ArenaLo,OSArena.o,os.a,false
