Symbol Name, Object File, Library Archive, Matching
SCInit,scsystem.o,sc.a,true
SCCheckStatus,scsystem.o,sc.a,false
SCReloadConfFileAsync,scsystem.o,sc.a,true
OpenCallbackFromReload,scsystem.o,sc.a,true
ReadCallbackFromReload,scsystem.o,sc.a,true
CloseCallbackFromReload,scsystem.o,sc.a,true
FinishFromReload,scsystem.o,sc.a,true
CloseCallbackFromReloadError,scsystem.o,sc.a,true
ParseConfBuf,scsystem.o,sc.a,true
UnpackItem,scsystem.o,sc.a,true
DeleteItemByID,scsystem.o,sc.a,true
CreateItemByID,scsystem.o,sc.a,true
SCFindByteArrayItem,scsystem.o,sc.a,true
SCReplaceByteArrayItem,scsystem.o,sc.a,true
SCReplaceIntegerItem,scsystem.o,sc.a,true
SCFindU8Item,scsystem.o,sc.a,true
SCFindS8Item,scsystem.o,sc.a,true
SCFindU32Item,scsystem.o,sc.a,true
SCReplaceU8Item,scsystem.o,sc.a,true
__SCFlushSyncCallback,scsystem.o,sc.a,false
SCFlushAsync,scsystem.o,sc.a,false
MyNandCallback,scsystem.o,sc.a,false
SCGetAspectRatio,scapi.o,sc.a,false
SCGetDisplayOffsetH,scapi.o,sc.a,false
SCGetEuRgb60Mode,scapi.o,sc.a,false
SCGetIdleMode,scapi.o,sc.a,true
SCGetLanguage,scapi.o,sc.a,true
SCGetProgressiveMode,scapi.o,sc.a,false
SCGetScreenSaverMode,scapi.o,sc.a,false
SCGetSoundMode,scapi.o,sc.a,false
SCGetCounterBias,scapi.o,sc.a,true
SCGetBtDeviceInfoArray,scapi.o,sc.a,false
SCSetBtDeviceInfoArray,scapi.o,sc.a,false
SCGetBtCmpDevInfoArray,scapi.o,sc.a,false
SCSetBtCmpDevInfoArray,scapi.o,sc.a,false
SCGetBtDpdSensibility,scapi.o,sc.a,false
SCGetWpadMotorMode,scapi.o,sc.a,false
SCSetWpadMotorMode,scapi.o,sc.a,false
SCGetWpadSensorBarPosition,scapi.o,sc.a,false
SCGetWpadSpeakerVolume,scapi.o,sc.a,false
SCSetWpadSpeakerVolume,scapi.o,sc.a,false
__SCF1,scapi_prdinfo.o,sc.a,true
SCGetProductArea,scapi_prdinfo.o,sc.a,true
SCGetProductGameRegion,scapi_prdinfo.o,sc.a,true
