Symbol Name, Object File, Library Archive, Matching
USB_LOG,usb.o,usb.a,false
USB_ERR,usb.o,usb.a,false
IUSB_OpenLib,usb.o,usb.a,false
IUSB_CloseLib,usb.o,usb.a,false
_intrBlkCtrlIsoCb,usb.o,usb.a,false
IUSB_OpenDeviceIds,usb.o,usb.a,false
IUSB_CloseDeviceAsync,usb.o,usb.a,false
__IntrBlkMsgInt,usb.o,usb.a,false
IUSB_ReadIntrMsgAsync,usb.o,usb.a,false
IUSB_ReadBlkMsgAsync,usb.o,usb.a,false
IUSB_WriteBlkMsgAsync,usb.o,usb.a,false
__CtrlMsgInt,usb.o,usb.a,false
IUSB_WriteCtrlMsgAsync,usb.o,usb.a,false
