Symbol Name, Object File, Library Archive, Matching
VFipf_toupper,pf_clib.o,vf.a,false
VFipf_memcpy,pf_clib.o,vf.a,false
VFipf_memset,pf_clib.o,vf.a,false
VFipf_strlen,pf_clib.o,vf.a,false
VFipf_strcpy,pf_clib.o,vf.a,false
VFipf_strcmp,pf_clib.o,vf.a,false
VFipf_strncmp,pf_clib.o,vf.a,false
VFiPFCODE_Combine_Width,pf_code.o,vf.a,false
VFiPFCODE_Divide_Width,pf_code.o,vf.a,false
VFiPF_LE16_TO_U16_STR,pf_service.o,vf.a,false
VFiPFSTR_SetCodeMode,pf_str.o,vf.a,false
VFiPFSTR_GetCodeMode,pf_str.o,vf.a,false
VFiPFSTR_GetStrPos,pf_str.o,vf.a,false
VFiPFSTR_MoveStrPos,pf_str.o,vf.a,false
VFiPFSTR_InitStr,pf_str.o,vf.a,false
VFiPFSTR_StrLen,pf_str.o,vf.a,false
VFiPFSTR_StrNumChar,pf_str.o,vf.a,false
VFiPFSTR_StrCmp,pf_str.o,vf.a,false
VFiPFSTR_StrNCmp,pf_str.o,vf.a,false
VFiPFSTR_ToUpperNStr,pf_str.o,vf.a,false
VFipf_w_strlen,pf_w_clib.o,vf.a,false
VFipf_w_strcpy,pf_w_clib.o,vf.a,false
VFipf_w_strncmp,pf_w_clib.o,vf.a,false
VFiPFDRV_GetBPBInformation,pf_driver.o,vf.a,false
VFiPFDRV_GetFSINFOInformation,pf_driver.o,vf.a,false
VFiPFDRV_StoreFreeCountToFSINFO,pf_driver.o,vf.a,false
VFiPFDRV_IsInserted,pf_driver.o,vf.a,false
VFiPFDRV_IsDetected,pf_driver.o,vf.a,false
VFiPFDRV_IsWProtected,pf_driver.o,vf.a,false
VFiPFDRV_init,pf_driver.o,vf.a,false
VFiPFDRV_finalize,pf_driver.o,vf.a,false
VFiPFDRV_mount,pf_driver.o,vf.a,false
VFiPFDRV_unmount,pf_driver.o,vf.a,false
VFiPFDRV_format,pf_driver.o,vf.a,false
VFiPFDRV_lread,pf_driver.o,vf.a,false
VFiPFDRV_lwrite,pf_driver.o,vf.a,false
VFiPFDRV_lerase,pf_driver.o,vf.a,false
VFipdm_bpb_calculate_common_bpb_fields,pdm_bpb.o,vf.a,false
VFipdm_bpb_get_bpb_information,pdm_bpb.o,vf.a,false
VFipdm_bpb_get_fsinfo_information,pdm_bpb.o,vf.a,false
VFipdm_bpb_set_fsinfo_information,pdm_bpb.o,vf.a,false
VFipdm_bpb_check_boot_sector,pdm_bpb.o,vf.a,false
VFipdm_bpb_check_fsinfo_sector,pdm_bpb.o,vf.a,false
VFipdm_disk_get_handle,pdm_disk.o,vf.a,false
VFipdm_disk_do_get_permission,pdm_disk.o,vf.a,false
VFipdm_disk_check_disk_handle,pdm_disk.o,vf.a,false
VFipdm_disk_open_disk,pdm_disk.o,vf.a,false
VFipdm_disk_close_disk,pdm_disk.o,vf.a,false
VFipdm_disk_get_part_permission,pdm_disk.o,vf.a,false
VFipdm_disk_release_part_permission,pdm_disk.o,vf.a,false
VFipdm_disk_physical_read,pdm_disk.o,vf.a,false
VFipdm_disk_physical_write,pdm_disk.o,vf.a,false
VFipdm_disk_physical_erase,pdm_disk.o,vf.a,false
VFipdm_disk_format,pdm_disk.o,vf.a,false
VFipdm_disk_get_lba_size,pdm_disk.o,vf.a,false
VFipdm_disk_get_media_information,pdm_disk.o,vf.a,false
VFipdm_disk_check_media_insert,pdm_disk.o,vf.a,false
VFipdm_disk_check_data_erase,pdm_disk.o,vf.a,false
VFipdm_disk_set_disk,pdm_disk.o,vf.a,false
VFipdm_disk_notify_media_insert,pdm_disk.o,vf.a,false
VFipdm_part_get_start_sector,pdm_partition.o,vf.a,false
VFipdm_part_convert_lsector_to_block,pdm_partition.o,vf.a,false
VFipdm_part_get_handle,pdm_partition.o,vf.a,false
VFipdm_part_open_partition,pdm_partition.o,vf.a,false
VFipdm_part_close_partition,pdm_partition.o,vf.a,false
VFipdm_part_get_permission,pdm_partition.o,vf.a,false
