Symbol Name, Object File, Library Archive, Matching
strlen,__mem.o,Runtime.PPCEABI.H.a,true
__va_arg,__va_arg.o,Runtime.PPCEABI.H.a,true
__register_global_object,global_destructor_chain.o,Runtime.PPCEABI.H.a,true
__destroy_global_chain,global_destructor_chain.o,Runtime.PPCEABI.H.a,true
__construct_new_array,NMWException.o,Runtime.PPCEABI.H.a,true
__dt__26__partial_array_destructorFv,NMWException.o,Runtime.PPCEABI.H.a,true
__construct_array,NMWException.o,Runtime.PPCEABI.H.a,true
__destroy_arr,NMWException.o,Runtime.PPCEABI.H.a,true
__destroy_new_array,NMWException.o,Runtime.PPCEABI.H.a,true
__ptmf_test,ptmf.o,Runtime.PPCEABI.H.a,true
__ptmf_cmpr,ptmf.o,Runtime.PPCEABI.H.a,true
__ptmf_scall,ptmf.o,Runtime.PPCEABI.H.a,true
__cvt_fp2unsigned,runtime.o,Runtime.PPCEABI.H.a,true
__save_fpr,runtime.o,Runtime.PPCEABI.H.a,true
__restore_fpr,runtime.o,Runtime.PPCEABI.H.a,true
__save_gpr,runtime.o,Runtime.PPCEABI.H.a,true
__restore_gpr,runtime.o,Runtime.PPCEABI.H.a,true
__div2u,runtime.o,Runtime.PPCEABI.H.a,true
__div2i,runtime.o,Runtime.PPCEABI.H.a,true
__mod2u,runtime.o,Runtime.PPCEABI.H.a,true
__mod2i,runtime.o,Runtime.PPCEABI.H.a,true
__shl2i,runtime.o,Runtime.PPCEABI.H.a,true
__shr2u,runtime.o,Runtime.PPCEABI.H.a,true
__cvt_dbl_usll,runtime.o,Runtime.PPCEABI.H.a,true
__cvt_dbl_ull,runtime.o,Runtime.PPCEABI.H.a,true
__init_cpp_exceptions,__init_cpp_exceptions.o,Runtime.PPCEABI.H.a,true
__fini_cpp_exceptions,__init_cpp_exceptions.o,Runtime.PPCEABI.H.a,true
__register_fragment,Gecko_ExceptionPPC.o,Runtime.PPCEABI.H.a,true
__unregister_fragment,Gecko_ExceptionPPC.o,Runtime.PPCEABI.H.a,true
__sys_free,GCN_mem_alloc.o,Runtime.PPCEABI.H.a,true
